kanji,meaning,h2,h3,h4
黒,black,Physical_Attributes_and_Properties,Colours_(色),
青,blue,Physical_Attributes_and_Properties,Colours_(色),
紅,crimson,Physical_Attributes_and_Properties,Colours_(色),
棕,brown,Physical_Attributes_and_Properties,Colours_(色),
褐,brown,Physical_Attributes_and_Properties,Colours_(色),
紺,dark blue,Physical_Attributes_and_Properties,Colours_(色),
金,gold,Physical_Attributes_and_Properties,Colours_(色),
緑,green,Physical_Attributes_and_Properties,Colours_(色),
灰,grey,Physical_Attributes_and_Properties,Colours_(色),
藍,indigo,Physical_Attributes_and_Properties,Colours_(色),
橙,orange,Physical_Attributes_and_Properties,Colours_(色),
粉,pink,Physical_Attributes_and_Properties,Colours_(色),
赤,red,Physical_Attributes_and_Properties,Colours_(色),
緋,scarlet,Physical_Attributes_and_Properties,Colours_(色),
銀,silver,Physical_Attributes_and_Properties,Colours_(色),
朱,vermilion,Physical_Attributes_and_Properties,Colours_(色),
紫,violet,Physical_Attributes_and_Properties,Colours_(色),
白,white,Physical_Attributes_and_Properties,Colours_(色),
黄,yellow,Physical_Attributes_and_Properties,Colours_(色),
彩,brightly coloured,Physical_Attributes_and_Properties,Colours_(色),
角,angle,Physical_Attributes_and_Properties,Form_and_Shape_(形),
弧,arc,Physical_Attributes_and_Properties,Form_and_Shape_(形),
玉,ball,Physical_Attributes_and_Properties,Form_and_Shape_(形),
枠,"border, frame",Physical_Attributes_and_Properties,Form_and_Shape_(形),
境,boundary,Physical_Attributes_and_Properties,Form_and_Shape_(形),
円,circle,Physical_Attributes_and_Properties,Form_and_Shape_(形),
丸,circular,Physical_Attributes_and_Properties,Form_and_Shape_(形),
凹,concave,Physical_Attributes_and_Properties,Form_and_Shape_(形),
凸,convex,Physical_Attributes_and_Properties,Form_and_Shape_(形),
隅,corner,Physical_Attributes_and_Properties,Form_and_Shape_(形),
曲,curve,Physical_Attributes_and_Properties,Form_and_Shape_(形),
柄,"design, pattern",Physical_Attributes_and_Properties,Form_and_Shape_(形),
斜,diagonal,Physical_Attributes_and_Properties,Form_and_Shape_(形),
縁,edge or border,Physical_Attributes_and_Properties,Form_and_Shape_(形),
端,edge or border,Physical_Attributes_and_Properties,Form_and_Shape_(形),
端,"end, tip",Physical_Attributes_and_Properties,Form_and_Shape_(形),
姿,figure,Physical_Attributes_and_Properties,Form_and_Shape_(形),
巨,huge,Physical_Attributes_and_Properties,Form_and_Shape_(形),
大,large,Physical_Attributes_and_Properties,Form_and_Shape_(形),
線,line,Physical_Attributes_and_Properties,Form_and_Shape_(形),
列,"line, row",Physical_Attributes_and_Properties,Form_and_Shape_(形),
並,line up,Physical_Attributes_and_Properties,Form_and_Shape_(形),
長,long,Physical_Attributes_and_Properties,Form_and_Shape_(形),
微,minute,Physical_Attributes_and_Properties,Form_and_Shape_(形),
狭,narrow,Physical_Attributes_and_Properties,Form_and_Shape_(形),
模,pattern,Physical_Attributes_and_Properties,Form_and_Shape_(形),
周,perimeter,Physical_Attributes_and_Properties,Form_and_Shape_(形),
環,"ring, surround",Physical_Attributes_and_Properties,Form_and_Shape_(形),
輪,"ring, surround",Physical_Attributes_and_Properties,Form_and_Shape_(形),
短,short,Physical_Attributes_and_Properties,Form_and_Shape_(形),
側,side,Physical_Attributes_and_Properties,Form_and_Shape_(形),
小,small,Physical_Attributes_and_Properties,Form_and_Shape_(形),
球,sphere,Physical_Attributes_and_Properties,Form_and_Shape_(形),
圏,sphere,Physical_Attributes_and_Properties,Form_and_Shape_(形),
高,tall,Physical_Attributes_and_Properties,Form_and_Shape_(形),
広,wide,Physical_Attributes_and_Properties,Form_and_Shape_(形),
幅,width,Physical_Attributes_and_Properties,Form_and_Shape_(形),
浄,clean,Physical_Attributes_and_Properties,Miscellaneous_properties,
冷,cold,Physical_Attributes_and_Properties,Miscellaneous_properties,
寒,cold,Physical_Attributes_and_Properties,Miscellaneous_properties,
濃,concentrated,Physical_Attributes_and_Properties,Miscellaneous_properties,
湿,damp,Physical_Attributes_and_Properties,Miscellaneous_properties,
深,deep,Physical_Attributes_and_Properties,Miscellaneous_properties,
微,delicate,Physical_Attributes_and_Properties,Miscellaneous_properties,
薄,dilute or thin,Physical_Attributes_and_Properties,Miscellaneous_properties,
汚,dirty,Physical_Attributes_and_Properties,Miscellaneous_properties,
干,dry,Physical_Attributes_and_Properties,Miscellaneous_properties,
乾,dry,Physical_Attributes_and_Properties,Miscellaneous_properties,
太,fat or thick,Physical_Attributes_and_Properties,Miscellaneous_properties,
緻,fine,Physical_Attributes_and_Properties,Miscellaneous_properties,
固,firm or solid,Physical_Attributes_and_Properties,Miscellaneous_properties,
艶,glossy,Physical_Attributes_and_Properties,Miscellaneous_properties,
重,heavy,Physical_Attributes_and_Properties,Miscellaneous_properties,
硬,hard,Physical_Attributes_and_Properties,Miscellaneous_properties,
暑,hot,Physical_Attributes_and_Properties,Miscellaneous_properties,
熱,hot,Physical_Attributes_and_Properties,Miscellaneous_properties,
軽,light (weight),Physical_Attributes_and_Properties,Miscellaneous_properties,
液,liquid,Physical_Attributes_and_Properties,Miscellaneous_properties,
潤,moist,Physical_Attributes_and_Properties,Miscellaneous_properties,
浅,shallow,Physical_Attributes_and_Properties,Miscellaneous_properties,
鋭,sharp,Physical_Attributes_and_Properties,Miscellaneous_properties,
細,slender,Physical_Attributes_and_Properties,Miscellaneous_properties,
軟,soft,Physical_Attributes_and_Properties,Miscellaneous_properties,
粘,sticky,Physical_Attributes_and_Properties,Miscellaneous_properties,
強,strong,Physical_Attributes_and_Properties,Miscellaneous_properties,
厚,thick,Physical_Attributes_and_Properties,Miscellaneous_properties,
温,warm,Physical_Attributes_and_Properties,Miscellaneous_properties,
暖,warm,Physical_Attributes_and_Properties,Miscellaneous_properties,
弱,weak,Physical_Attributes_and_Properties,Miscellaneous_properties,
央,Centre,Directions_(方)_and_Spatial_Relationships,,
東,East,Directions_(方)_and_Spatial_Relationships,,
北,North,Directions_(方)_and_Spatial_Relationships,,
南,South,Directions_(方)_and_Spatial_Relationships,,
西,West,Directions_(方)_and_Spatial_Relationships,,
後,back,Directions_(方)_and_Spatial_Relationships,,
間,between,Directions_(方)_and_Spatial_Relationships,,
底,bottom,Directions_(方)_and_Spatial_Relationships,,
遠,distant,Directions_(方)_and_Spatial_Relationships,,
下,down,Directions_(方)_and_Spatial_Relationships,,
前,front,Directions_(方)_and_Spatial_Relationships,,
入,in,Directions_(方)_and_Spatial_Relationships,,
内,inside,Directions_(方)_and_Spatial_Relationships,,
奥,interior,Directions_(方)_and_Spatial_Relationships,,
左,left,Directions_(方)_and_Spatial_Relationships,,
中,middle,Directions_(方)_and_Spatial_Relationships,,
近,near,Directions_(方)_and_Spatial_Relationships,,
出,out,Directions_(方)_and_Spatial_Relationships,,
外,outside,Directions_(方)_and_Spatial_Relationships,,
裏,rear,Directions_(方)_and_Spatial_Relationships,,
右,right,Directions_(方)_and_Spatial_Relationships,,
向,toward,Directions_(方)_and_Spatial_Relationships,,
上,up,Directions_(方)_and_Spatial_Relationships,,
浩,vast,Directions_(方)_and_Spatial_Relationships,,
来,to come,Directions_(方)_and_Spatial_Relationships,Movement,
离,to depart or to leave,Directions_(方)_and_Spatial_Relationships,Movement,
圜,to encircle,Directions_(方)_and_Spatial_Relationships,Movement,
落,to fall,Directions_(方)_and_Spatial_Relationships,Movement,
墜,to fall,Directions_(方)_and_Spatial_Relationships,Movement,
行,to go or to perform,Directions_(方)_and_Spatial_Relationships,Movement,
往,to go to,Directions_(方)_and_Spatial_Relationships,Movement,
越,to pass or go beyond,Directions_(方)_and_Spatial_Relationships,Movement,
揚,to raise,Directions_(方)_and_Spatial_Relationships,Movement,
帰,to return,Directions_(方)_and_Spatial_Relationships,Movement,
倒,to reverse,Directions_(方)_and_Spatial_Relationships,Movement,
搬,to transport,Directions_(方)_and_Spatial_Relationships,Movement,
旅,to travel,Directions_(方)_and_Spatial_Relationships,Movement,
赴,to visit,Directions_(方)_and_Spatial_Relationships,Movement,
零,0,Numbers_(数),,
一,1,Numbers_(数),,
二,2,Numbers_(数),,
三,3,Numbers_(数),,
四,4,Numbers_(数),,
五,5,Numbers_(数),,
六,6,Numbers_(数),,
七,7,Numbers_(数),,
八,8,Numbers_(数),,
九,9,Numbers_(数),,
十,10,Numbers_(数),,
百,100,Numbers_(数),,
千,"1,000",Numbers_(数),,
万,"10,000",Numbers_(数),,
億,"100,000,000",Numbers_(数),,
兆,"1,000,000,000,000",Numbers_(数),,
加,to add,Numbers_(数),Calculations_(算),
耗,to consume,Numbers_(数),Calculations_(算),
減,"to decrease, to subtract",Numbers_(数),Calculations_(算),
分,to divide,Numbers_(数),Calculations_(算),
除,to divide,Numbers_(数),Calculations_(算),
倍,"to double, times",Numbers_(数),Calculations_(算),
剖,"to halve, split in two",Numbers_(数),Calculations_(算),
増,to increase,Numbers_(数),Calculations_(算),
殖,to increase,Numbers_(数),Calculations_(算),
乘,to multiply,Numbers_(数),Calculations_(算),
縮,"to reduce, shrink",Numbers_(数),Calculations_(算),
匹,counter for animals,Numbers_(数),Counters_(個),
羽,"counter for animals, birds and rabbits",Numbers_(数),Counters_(個),
頭,"counter for animals, large",Numbers_(数),Counters_(個),
疋,"counter for animals, small or insects",Numbers_(数),Counters_(個),
箇,counter for articles,Numbers_(数),Counters_(個),
札,counter for bonds or tickets,Numbers_(数),Counters_(個),
冊,counter for books,Numbers_(数),Counters_(個),
斤,"counter for bread, loaves",Numbers_(数),Counters_(個),
杯,counter for cupfuls,Numbers_(数),Counters_(個),
本,counter for cylindrical things,Numbers_(数),Counters_(個),
枚,counter for flat things,Numbers_(数),Counters_(個),
輪,counter for flowers or wheels,Numbers_(数),Counters_(個),
足,"counter for footwear, pairs",Numbers_(数),Counters_(個),
軒,counter for houses,Numbers_(数),Counters_(個),
戸,counter for houses,Numbers_(数),Counters_(個),
台,counter for machines and vehicles,Numbers_(数),Counters_(個),
人,counter for people,Numbers_(数),Counters_(個),
隻,counter for ships,Numbers_(数),Counters_(個),
畳,counter for tatami mats,Numbers_(数),Counters_(個),
丁,miscellaneous counter,Numbers_(数),Counters_(個),
番,numerical order,Numbers_(数),Counting_(計)_&_Sequence_(序),
初,first,Numbers_(数),Counting_(計)_&_Sequence_(序),
乙,second,Numbers_(数),Counting_(計)_&_Sequence_(序),
丙,third,Numbers_(数),Counting_(計)_&_Sequence_(序),
第,ordinal marker,Numbers_(数),Counting_(計)_&_Sequence_(序),
両,both,Numbers_(数),Counting_(計)_&_Sequence_(序),
桁,digit,Numbers_(数),Counting_(計)_&_Sequence_(序),
各,each,Numbers_(数),Counting_(計)_&_Sequence_(序),
毎,every,Numbers_(数),Counting_(計)_&_Sequence_(序),
少,few,Numbers_(数),Counting_(計)_&_Sequence_(序),
翌,the following,Numbers_(数),Counting_(計)_&_Sequence_(序),
半,half,Numbers_(数),Counting_(計)_&_Sequence_(序),
多,many,Numbers_(数),Counting_(計)_&_Sequence_(序),
次,next,Numbers_(数),Counting_(計)_&_Sequence_(序),
双,pair,Numbers_(数),Counting_(計)_&_Sequence_(序),
順,sequence,Numbers_(数),Counting_(計)_&_Sequence_(序),
坪,two-mat area (around 3.3 m²),Numbers_(数),Units_of_Measurement_(測),
畝,30 tsubo (99 m2),Numbers_(数),Units_of_Measurement_(測),
尺,Japanese foot (around 30 cm),Numbers_(数),Units_of_Measurement_(測),
寸,1/10 Japanese foot (around 3 cm),Numbers_(数),Units_of_Measurement_(測),
厘,(around 0.3 mm),Numbers_(数),Units_of_Measurement_(測),
里,league (around 3.9 km),Numbers_(数),Units_of_Measurement_(測),
勺,ladle (around 18 ml),Numbers_(数),Units_of_Measurement_(測),
升,(around 1.8 l),Numbers_(数),Units_of_Measurement_(測),
斗,(around 18 l),Numbers_(数),Units_of_Measurement_(測),
石,(around 180 l),Numbers_(数),Units_of_Measurement_(測),
匁,(around 3.75 grams),Numbers_(数),Units_of_Measurement_(測),
斤,(around 600 g),Numbers_(数),Units_of_Measurement_(測),
後,after,Time_(時),,
先,"ahead, previous",Time_(時),,
昔,antiquity,Time_(時),,
前,before,Time_(時),,
始,begin,Time_(時),,
早,early,Time_(時),,
終,end,Time_(時),,
紀,era,Time_(時),,
永,eternity,Time_(時),,
旧,former,Time_(時),,
曽,formerly,Time_(時),,
間,interval of time,Time_(時),,
遅,late,Time_(時),,
久,long ago,Time_(時),,
際,"moment, occasion",Time_(時),,
新,new,Time_(時),,
今,now,Time_(時),,
回,number of times,Time_(時),,
度,number of times,Time_(時),,
古,old,Time_(時),,
老,old,Time_(時),,
昨,previous time,Time_(時),,
近,recent,Time_(時),,
頃,"time, about",Time_(時),,
期,time period,Time_(時),,
暫,a while,Time_(時),,
若,young,Time_(時),,
日,Sunday,Time_(時),Days_of_the_Week_(曜),
月,Monday,Time_(時),Days_of_the_Week_(曜),
火,Tuesday,Time_(時),Days_of_the_Week_(曜),
水,Wednesday,Time_(時),Days_of_the_Week_(曜),
木,Thursday,Time_(時),Days_of_the_Week_(曜),
金,Friday,Time_(時),Days_of_the_Week_(曜),
土,Saturday,Time_(時),Days_of_the_Week_(曜),
鐘,clock,Time_(時),Divisions_of_the_Day,
昼,daytime,Time_(時),Divisions_of_the_Day,
宵,early evening,Time_(時),Divisions_of_the_Day,
夕,evening,Time_(時),Divisions_of_the_Day,
晩,evening,Time_(時),Divisions_of_the_Day,
時,hour,Time_(時),Divisions_of_the_Day,
分,minute,Time_(時),Divisions_of_the_Day,
朝,morning,Time_(時),Divisions_of_the_Day,
夜,night,Time_(時),Divisions_of_the_Day,
午,noon,Time_(時),Divisions_of_the_Day,
旭,rising sun,Time_(時),Divisions_of_the_Day,
秒,second,Time_(時),Divisions_of_the_Day,
暁,sunrise,Time_(時),Divisions_of_the_Day,
旦,sunrise,Time_(時),Divisions_of_the_Day,
暮,sunset,Time_(時),Divisions_of_the_Day,
暦,calendar,Time_(時),Divisions_of_the_Year,
日,day,Time_(時),Divisions_of_the_Year,
曜,day of week,Time_(時),Divisions_of_the_Year,
月,month,Time_(時),Divisions_of_the_Year,
旬,period of 10 days,Time_(時),Divisions_of_the_Year,
週,week,Time_(時),Divisions_of_the_Year,
年,year,Time_(時),Divisions_of_the_Year,
節,"season, period",Time_(時),Seasons_(季_/_候),
春,Spring,Time_(時),Seasons_(季_/_候),
夏,Summer,Time_(時),Seasons_(季_/_候),
秋,Autumn,Time_(時),Seasons_(季_/_候),
冬,Winter,Time_(時),Seasons_(季_/_候),
欃,comet,Nature,Sky,
食,eclipse,Nature,Sky,
天,"heaven, sky",Nature,Sky,
月,moon,Nature,Sky,
星,star,Nature,Sky,
日,sun,Nature,Sky,
宇,universe,Nature,Sky,
空,"void, sky",Nature,Sky,
気,air,Nature,Natural_Substances,
窒,nitrogen,Nature,Natural_Substances,
氧,oxygen,Nature,Natural_Substances,
汽,steam or vapour,Nature,Natural_Substances,
酸,acid or vinegar,Nature,Natural_Substances,
脂,fat or resin,Nature,Natural_Substances,
油,oil,Nature,Natural_Substances,
水,water,Nature,Natural_Substances,
灰,ash,Nature,Natural_Substances,
丹,cinnabar,Nature,Natural_Substances,
炭,coal,Nature,Natural_Substances,
銅,copper,Nature,Natural_Substances,
晶,crystal,Nature,Natural_Substances,
土,earth,Nature,Natural_Substances,
地,ground,Nature,Natural_Substances,
氷,ice,Nature,Natural_Substances,
鉄,iron,Nature,Natural_Substances,
玉,jewel,Nature,Natural_Substances,
鉛,lead,Nature,Natural_Substances,
金,metal or gold,Nature,Natural_Substances,
泥,mud,Nature,Natural_Substances,
鉱,ore,Nature,Natural_Substances,
珠,pearl or jewel,Nature,Natural_Substances,
銑,pig iron,Nature,Natural_Substances,
塩,salt,Nature,Natural_Substances,
砂,sand,Nature,Natural_Substances,
沙,sand,Nature,Natural_Substances,
銀,silver,Nature,Natural_Substances,
鋼,steel,Nature,Natural_Substances,
石,stone,Nature,Natural_Substances,
硫,sulphur,Nature,Natural_Substances,
材,timber or material,Nature,Natural_Substances,
錫,tin,Nature,Natural_Substances,
鋅,zinc,Nature,Natural_Substances,
晴,clear or fine weather,Nature,Weather,
候,climate,Nature,Weather,
雲,cloud,Nature,Weather,
曇,cloudy,Nature,Weather,
冷,cold,Nature,Weather,
霧,fog,Nature,Weather,
霞,haze,Nature,Weather,
霜,frost,Nature,Weather,
雹,hail,Nature,Weather,
熱,heat,Nature,Weather,
閃,lightning,Nature,Weather,
靄,mist,Nature,Weather,
災,natural disaster,Nature,Weather,
𠆭,overcast,Nature,Weather,
雨,rain,Nature,Weather,
虹,rainbow,Nature,Weather,
雪,snow,Nature,Weather,
嵐,storm,Nature,Weather,
雷,thunder,Nature,Weather,
風,wind,Nature,Weather,
炎,blaze or flame,Nature,Weather,
焰,blaze or flame,Nature,Weather,
暗,dark,Nature,Weather,
闇,dark,Nature,Weather,
冥,dark,Nature,Weather,
露,dew,Nature,Weather,
震,earthquake,Nature,Weather,
電,electricity,Nature,Weather,
火,fire,Nature,Weather,
洪,flood,Nature,Weather,
煙,fumes or smoke,Nature,Weather,
光,light,Nature,Weather,
明,light,Nature,Weather,
磁,magnet,Nature,Weather,
影,shadow,Nature,Weather,
潮,tide,Nature,Weather,
波,wave,Nature,Weather,
渦,whirlpool,Nature,Weather,
岩,boulder or rock,Nature,Land_(陸)_and_Topography,
巌,boulder or rock,Nature,Land_(陸)_and_Topography,
窟,cave,Nature,Land_(陸)_and_Topography,
崖,cliff,Nature,Land_(陸)_and_Topography,
里,countryside,Nature,Land_(陸)_and_Topography,
漠,desert,Nature,Land_(陸)_and_Topography,
堀,ditch,Nature,Land_(陸)_and_Topography,
堤,embankment,Nature,Land_(陸)_and_Topography,
壌,fertile soil,Nature,Land_(陸)_and_Topography,
野,field,Nature,Land_(陸)_and_Topography,
畑,field,Nature,Land_(陸)_and_Topography,
原,field,Nature,Land_(陸)_and_Topography,
麓,foot of mountain,Nature,Land_(陸)_and_Topography,
峡,gorge,Nature,Land_(陸)_and_Topography,
岬,headland,Nature,Land_(陸)_and_Topography,
丘,hill,Nature,Land_(陸)_and_Topography,
岡,hill,Nature,Land_(陸)_and_Topography,
阜,hill,Nature,Land_(陸)_and_Topography,
山,mountain or peak,Nature,Land_(陸)_and_Topography,
岳,mountain or peak,Nature,Land_(陸)_and_Topography,
峰,mountain or peak,Nature,Land_(陸)_and_Topography,
峠,mountain pass,Nature,Land_(陸)_and_Topography,
溪,mountain stream or valley,Nature,Land_(陸)_and_Topography,
牧,pasture,Nature,Land_(陸)_and_Topography,
渓,ravine,Nature,Land_(陸)_and_Topography,
田,rice paddy,Nature,Land_(陸)_and_Topography,
坂,slope,Nature,Land_(陸)_and_Topography,
谷,valley,Nature,Land_(陸)_and_Topography,
湾,bay or gulf,Nature,Land_(陸)_and_Topography,
浜,beach,Nature,Land_(陸)_and_Topography,
浦,beach,Nature,Land_(陸)_and_Topography,
崎,cape or promontory,Nature,Land_(陸)_and_Topography,
埼,cape or promontory,Nature,Land_(陸)_and_Topography,
沖,"high seas, offshore",Nature,Land_(陸)_and_Topography,
島,island,Nature,Land_(陸)_and_Topography,
潟,lagoon,Nature,Land_(陸)_and_Topography,
洋,ocean,Nature,Land_(陸)_and_Topography,
瀬,rapids or shallows,Nature,Land_(陸)_and_Topography,
礁,reef,Nature,Land_(陸)_and_Topography,
海,sea,Nature,Land_(陸)_and_Topography,
磯,seashore,Nature,Land_(陸)_and_Topography,
岸,shore,Nature,Land_(陸)_and_Topography,
江,creek,Nature,Land_(陸)_and_Topography,
湖,lake,Nature,Land_(陸)_and_Topography,
畔,levee,Nature,Land_(陸)_and_Topography,
沼,marsh,Nature,Land_(陸)_and_Topography,
池,pond,Nature,Land_(陸)_and_Topography,
川,river,Nature,Land_(陸)_and_Topography,
河,stream,Nature,Land_(陸)_and_Topography,
沢,swamp,Nature,Land_(陸)_and_Topography,
泉,water spring,Nature,Land_(陸)_and_Topography,
滝,waterfall,Nature,Land_(陸)_and_Topography,
蛙,frog,Nature,Animals_(獣),
蠑,salamander,Nature,Animals_(獣),
鯢,salamander,Nature,Animals_(獣),
鶏,chicken,Nature,Animals_(獣),
鶴,crane,Nature,Animals_(獣),
烏/鴉,crow,Nature,Animals_(獣),
鳩,"dove, pigeon",Nature,Animals_(獣),
鴨,duck,Nature,Animals_(獣),
鷲,eagle,Nature,Animals_(獣),
鷺,egret or heron,Nature,Animals_(獣),
鷹,hawk,Nature,Animals_(獣),
鶯,"oriole, nightingale, warbler",Nature,Animals_(獣),
梟,owl,Nature,Animals_(獣),
鶉,quail,Nature,Animals_(獣),
鴎,seagull,Nature,Animals_(獣),
雀,sparrow,Nature,Animals_(獣),
燕,swallow,Nature,Animals_(獣),
鰤,amberjack,Nature,Animals_(獣),
鰍,bullhead,Nature,Animals_(獣),
鯉,carp,Nature,Animals_(獣),
鯰,catfish,Nature,Animals_(獣),
鱈,cod,Nature,Animals_(獣),
鮒,crucian carp,Nature,Animals_(獣),
鰻,eel,Nature,Animals_(獣),
鰈/鮃,flounder,Nature,Animals_(獣),
鯊,goby,Nature,Animals_(獣),
鰊,herring,Nature,Animals_(獣),
鯵,horse mackerel / scad,Nature,Animals_(獣),
鯖,mackerel,Nature,Animals_(獣),
鮠,minnow,Nature,Animals_(獣),
蛸,octopus,Nature,Animals_(獣),
鱸,sea bass,Nature,Animals_(獣),
鯛,sea bream,Nature,Animals_(獣),
鮭,salmon,Nature,Animals_(獣),
鮫,shark,Nature,Animals_(獣),
