kanji,meaning,h2,h3,h4
苑,park,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
亭,pavilion,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
台,pedestal,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
柱,pillar,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
壇,podium,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
獄,prison,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
館,public building,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
棟,ridgepole,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
室,room,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
棚,shelf,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
店,shop,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
宮,shrine,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
駅,station,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
庫,storage room,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
蔵,storehouse,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
堂,temple,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
寺,temple,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
楼,tower,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
塔,tower,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
壁,wall,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
倉,warehouse,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
井,well,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
窓,window,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
桟,wooden structure,Artificial_Structures_and_Products,Cities_(市),Buildings_(房)_and_Structures
橋,bridge,Artificial_Structures_and_Products,Cities_(市),Roads_(路)
辻,crossroads,Artificial_Structures_and_Products,Cities_(市),Roads_(路)
岐,fork in the road,Artificial_Structures_and_Products,Cities_(市),Roads_(路)
道,path or road,Artificial_Structures_and_Products,Cities_(市),Roads_(路)
途,router or way,Artificial_Structures_and_Products,Cities_(市),Roads_(路)
街,street,Artificial_Structures_and_Products,Cities_(市),Roads_(路)
軸,axle,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
搭,to board or load,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
舟,boat,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
械,contraption,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
舶,oceangoing ship,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
力,power,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
乗,to ride,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
船,ship,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
艇,ship,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
舷,sides of a boat,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機),
装,attire,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
帯,belt,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
錦,brocade,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
襟,collar,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
綿,cotton,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
裾,cuff or hem,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
維,fibre,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
履,footwear,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
衣,garment,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
帽,hat,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
革,leather,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
縫,to sew,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
靴,shoes,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
絹,silk,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
袖,sleeve,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
紡,to spin or weave,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
糸,thread,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
巾,towel,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
着,to wear,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
織,to weave,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布),
品,article,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
斤,axe,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
袋,bag,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
盆,basin or tray,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
籠,basket,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
床,bed,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鈴,bell,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鐘,bell,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
盤,board or disk,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
板,board or plate,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
瓶,bottle or jar,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鉢,bowl,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
丼,bowl,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
箱,box,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鋳,casting,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鎖,chain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
椅,chair,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
棺,coffin,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
索,cord,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
箸,chopsticks,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
杯,cup,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
幕,curtain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
机,desk,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
皿,dish or plate,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
扇,fan,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鈎,fish hook,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
枢,hinge or pivot,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
釜,kettle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鍵,key,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
窯,kiln or stove,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
漆,lacquer,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
灯,lamp,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
蓋,lid,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
錠,lock,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
臼,millstone or mortar,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鏡,mirror,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
針,needle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
網,net,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
塗,paint,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
紙,paper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
箋,paper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
枕,pillow,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
管,pipe,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
栓,plug or stopper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
錘,plumb or spindle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
磁,porcelain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鍋,pot,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
陶,pottery,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
棒,rod,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
縄,rope,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
綱,rope,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
帆,sail,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
鎌,sickle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
串,skewer,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
俵,straw bag or sack,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
弦,string,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
卓,table,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
槽,tank,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
畳,tatami mat,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
瓦,tile,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
缶,tin can,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
具,tool,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
膳,tray or small table,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
傘,umbrella,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
器,vessel,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items,
芸,art,Human_activities,Culture,
絵,"picture, painting",Human_activities,Culture,
画,picture,Human_activities,Culture,
楽,music,Human_activities,Culture,
曲,musical composition,Human_activities,Culture,
歌,song,Human_activities,Culture,
謡,"song, noh chant",Human_activities,Culture,
唄,song,Human_activities,Culture,
諧,harmony,Human_activities,Culture,
琴,"cithare, harp",Human_activities,Culture,
笛,flute,Human_activities,Culture,
鼓,drum,Human_activities,Culture,
拍,"clap, beat (music)",Human_activities,Culture,
節,"tune, melody",Human_activities,Culture,
詩,poetry,Human_activities,Culture,
詠,recite poetry,Human_activities,Culture,
俳,haiku,Human_activities,Culture,
劇,"drama, play",Human_activities,Culture,
祭,festival,Human_activities,Culture,
校,school,Human_activities,Culture,
学,"study, school",Human_activities,Culture,
生,student,Human_activities,Culture,
塾,private school,Human_activities,Culture,
科,faculty,Human_activities,Culture,
教,teach,Human_activities,Culture,
究,"study, research",Human_activities,Culture,
研,"study, research",Human_activities,Culture,
知,know,Human_activities,Culture,
卒,graduate,Human_activities,Culture,
儒,Confucianism,Human_activities,Culture,
言,say,Human_activities,Language_(語)_and_Communication,
話,speak,Human_activities,Language_(語)_and_Communication,
声,voice,Human_activities,Language_(語)_and_Communication,
告,tell,Human_activities,Language_(語)_and_Communication,
談,discuss,Human_activities,Language_(語)_and_Communication,
聞,ask,Human_activities,Language_(語)_and_Communication,
問,question,Human_activities,Language_(語)_and_Communication,
答,answer,Human_activities,Language_(語)_and_Communication,
吟,recite,Human_activities,Language_(語)_and_Communication,
読,read,Human_activities,Language_(語)_and_Communication,
書,write,Human_activities,Language_(語)_and_Communication,
本,book,Human_activities,Language_(語)_and_Communication,
文,text,Human_activities,Language_(語)_and_Communication,
図,"map, diagram",Human_activities,Language_(語)_and_Communication,
筆,"writing, brush",Human_activities,Language_(語)_and_Communication,
字,character,Human_activities,Language_(語)_and_Communication,
辞,word,Human_activities,Language_(語)_and_Communication,
詞,words,Human_activities,Language_(語)_and_Communication,
句,phrase,Human_activities,Language_(語)_and_Communication,
記,written record,Human_activities,Language_(語)_and_Communication,
刊,publish,Human_activities,Language_(語)_and_Communication,
誌,"document, journal",Human_activities,Language_(語)_and_Communication,
訃,obituary,Human_activities,Language_(語)_and_Communication,
信,message,Human_activities,Language_(語)_and_Communication,
報,inform,Human_activities,Language_(語)_and_Communication,
説,explain,Human_activities,Language_(語)_and_Communication,
題,topic,Human_activities,Language_(語)_and_Communication,
表,express,Human_activities,Language_(語)_and_Communication,
伝,transmit,Human_activities,Language_(語)_and_Communication,
論,discourse,Human_activities,Language_(語)_and_Communication,
講,lecture,Human_activities,Language_(語)_and_Communication,
宣,proclaim,Human_activities,Language_(語)_and_Communication,
金,gold,Human_activities,Money_(銭)_and_Commerce_(商),
札,banknote,Human_activities,Money_(銭)_and_Commerce_(商),
円,yen,Human_activities,Money_(銭)_and_Commerce_(商),
幣,currency,Human_activities,Money_(銭)_and_Commerce_(商),
財,wealth,Human_activities,Money_(銭)_and_Commerce_(商),
富,rich,Human_activities,Money_(銭)_and_Commerce_(商),
買,buy,Human_activities,Money_(銭)_and_Commerce_(商),
購,purchase,Human_activities,Money_(銭)_and_Commerce_(商),
売,sell,Human_activities,Money_(銭)_and_Commerce_(商),
業,"business, industry",Human_activities,Money_(銭)_and_Commerce_(商),
商,trade,Human_activities,Money_(銭)_and_Commerce_(商),
貿,trade,Human_activities,Money_(銭)_and_Commerce_(商),
販,marketing,Human_activities,Money_(銭)_and_Commerce_(商),
卸,wholesale,Human_activities,Money_(銭)_and_Commerce_(商),
払,pay,Human_activities,Money_(銭)_and_Commerce_(商),
貝,cowry (ancient Chinese currency),Human_activities,Money_(銭)_and_Commerce_(商),
貨,goods or property,Human_activities,Money_(銭)_and_Commerce_(商),
宝,treasure or wealth,Human_activities,Money_(銭)_and_Commerce_(商),
産,product,Human_activities,Money_(銭)_and_Commerce_(商),
工,manufacture,Human_activities,Money_(銭)_and_Commerce_(商),
価,price,Human_activities,Money_(銭)_and_Commerce_(商),
値,price,Human_activities,Money_(銭)_and_Commerce_(商),
高,expensive,Human_activities,Money_(銭)_and_Commerce_(商),
安,cheap,Human_activities,Money_(銭)_and_Commerce_(商),
廉,cheap,Human_activities,Money_(銭)_and_Commerce_(商),
資,capital,Human_activities,Money_(銭)_and_Commerce_(商),
賃,fee or wages,Human_activities,Money_(銭)_and_Commerce_(商),
料,fee,Human_activities,Money_(銭)_and_Commerce_(商),
費,expense,Human_activities,Money_(銭)_and_Commerce_(商),
営,management,Human_activities,Money_(銭)_and_Commerce_(商),
職,employment,Human_activities,Money_(銭)_and_Commerce_(商),
働,work,Human_activities,Money_(銭)_and_Commerce_(商),
稼,"work, earn",Human_activities,Money_(銭)_and_Commerce_(商),
給,salary,Human_activities,Money_(銭)_and_Commerce_(商),
俸,salary,Human_activities,Money_(銭)_and_Commerce_(商),
償,recompense,Human_activities,Money_(銭)_and_Commerce_(商),
債,bond or debt,Human_activities,Money_(銭)_and_Commerce_(商),
貯,savings,Human_activities,Money_(銭)_and_Commerce_(商),
税,tax,Human_activities,Money_(銭)_and_Commerce_(商),
租,tax,Human_activities,Money_(銭)_and_Commerce_(商),
賦,installment or levy,Human_activities,Money_(銭)_and_Commerce_(商),
賄,bribe,Human_activities,Money_(銭)_and_Commerce_(商),
賂,bribe,Human_activities,Money_(銭)_and_Commerce_(商),
賭,gamble,Human_activities,Money_(銭)_and_Commerce_(商),
俎,altar of sacrifice,Human_activities,Religion_(宗)_and_the_Supernatural_World,
仏,Buddha,Human_activities,Religion_(宗)_and_the_Supernatural_World,
尼,Buddhist nun,Human_activities,Religion_(宗)_and_the_Supernatural_World,
僧,Buddhist monk or priest,Human_activities,Religion_(宗)_and_the_Supernatural_World,
寺,Buddhist temple,Human_activities,Religion_(宗)_and_the_Supernatural_World,
幽,dark or hidden,Human_activities,Religion_(宗)_and_the_Supernatural_World,
魔,demon,Human_activities,Religion_(宗)_and_the_Supernatural_World,
教,doctrine or teaching,Human_activities,Religion_(宗)_and_the_Supernatural_World,
竜,dragon,Human_activities,Religion_(宗)_and_the_Supernatural_World,
鬼,evil spirit or oni,Human_activities,Religion_(宗)_and_the_Supernatural_World,
祓,exorcism or purity,Human_activities,Religion_(宗)_and_the_Supernatural_World,
妖,goblin or yōkai,Human_activities,Religion_(宗)_and_the_Supernatural_World,
神,god or [kami],Human_activities,Religion_(宗)_and_the_Supernatural_World,
仙,immortal or sage,Human_activities,Religion_(宗)_and_the_Supernatural_World,
幻,phantom,Human_activities,Religion_(宗)_and_the_Supernatural_World,
祈,pray,Human_activities,Religion_(宗)_and_the_Supernatural_World,
派,religious sect,Human_activities,Religion_(宗)_and_the_Supernatural_World,
聖,sacred,Human_activities,Religion_(宗)_and_the_Supernatural_World,
犠,sacrifice,Human_activities,Religion_(宗)_and_the_Supernatural_World,
巫,shaman,Human_activities,Religion_(宗)_and_the_Supernatural_World,
社,Shinto shrine,Human_activities,Religion_(宗)_and_the_Supernatural_World,
宮,shrine,Human_activities,Religion_(宗)_and_the_Supernatural_World,
罪,sin or taboo,Human_activities,Religion_(宗)_and_the_Supernatural_World,
魂,soul,Human_activities,Religion_(宗)_and_the_Supernatural_World,
霊,spirit,Human_activities,Religion_(宗)_and_the_Supernatural_World,
刹,temple,Human_activities,Religion_(宗)_and_the_Supernatural_World,
詣,temple visit,Human_activities,Religion_(宗)_and_the_Supernatural_World,
德,virtue,Human_activities,Religion_(宗)_and_the_Supernatural_World,
陽,Yang principle,Human_activities,Religion_(宗)_and_the_Supernatural_World,
陰,Yin principle,Human_activities,Religion_(宗)_and_the_Supernatural_World,
禅,Zen,Human_activities,Religion_(宗)_and_the_Supernatural_World,
武,military,Human_activities,War_(戦),
戦,battle,Human_activities,War_(戦),
闘,battle,Human_activities,War_(戦),
敵,enemy,Human_activities,War_(戦),
攻,attack,Human_activities,War_(戦),
斬,slash,Human_activities,War_(戦),
伐,attack or punish,Human_activities,War_(戦),
殺,kill,Human_activities,War_(戦),
撃,attack,Human_activities,War_(戦),
討,attack,Human_activities,War_(戦),
殴,"beat, assault",Human_activities,War_(戦),
撃,"beat, attack",Human_activities,War_(戦),
斬,cut with a sword,Human_activities,War_(戦),
射,shoot at,Human_activities,War_(戦),
襲,raid,Human_activities,War_(戦),
征,conquer,Human_activities,War_(戦),
陣,"battle formation, camp",Human_activities,War_(戦),
屯,barracks,Human_activities,War_(戦),
侍,Samurai,Human_activities,War_(戦),Soldier_(兵)
忍,Ninja or Shinobi,Human_activities,War_(戦),Soldier_(兵)
偵,spy,Human_activities,War_(戦),Soldier_(兵)
将,commander,Human_activities,War_(戦),Soldier_(兵)
曹,sergeant,Human_activities,War_(戦),Soldier_(兵)
尉,military officer,Human_activities,War_(戦),Soldier_(兵)
軍,troops,Human_activities,War_(戦),Soldier_(兵)
隊,corps,Human_activities,War_(戦),Soldier_(兵)
班,"squad, corps",Human_activities,War_(戦),Soldier_(兵)
刀,sword or katana,Human_activities,War_(戦),Weapons
矛,halberd,Human_activities,War_(戦),Weapons
戈,spear,Human_activities,War_(戦),Weapons
剣,sword,Human_activities,War_(戦),Weapons
盾,shield,Human_activities,War_(戦),Weapons
甲,armour,Human_activities,War_(戦),Weapons
弓,bow,Human_activities,War_(戦),Weapons
矢,arrow,Human_activities,War_(戦),Weapons
銃,gun,Human_activities,War_(戦),Weapons
砲,gun or cannon,Human_activities,War_(戦),Weapons
爆,bomb,Human_activities,War_(戦),Weapons
弾,bullet,Human_activities,War_(戦),Weapons
艦,warship,Human_activities,War_(戦),Weapons
