kanji,radical_list
禹,丿冂禸虫
穢,丿小戈止禾
窘,丿儿口宀彐穴
窖,丿儿口土宀穴
竏,丿十立
笏,丿勹竹勿
笋,丿彐竹
筵,丿廴止竹
筬,丿戈竹
箴,丿口戈竹
粳,丿日米
絨,丿戈糸
絏,丿日糸
緜,丿巾白糸
緘,丿口戈糸
緲,丿小目糸
縅,丿女戈糸
繽,丿宀小糸貝
缺,丿二人凵大缶
羞,丿彐玉羊丷
羣,丿口彐玉羊丷
隋,丿工月阝.
膓,丿日月勿
膸,丿工月辶
臟,丿戈月臣艹
臧,丿冫戈疒臣
臻,丿二厶土大禾至
舂,丿二大臼
艾,丿艹
茆,丿卩艹
荐,丿子艹
莚,丿廴止艹
莎,丿小氵艹
莠,丿禾艹
藏,丿戈爿臣艹
蘋,丿小止貝頁艹
虱,丿乙虫
蜒,丿廴止虫
蜑,丿廴止虫
蜴,丿日虫勿
蝨,丿乙虫
蝪,丿日虫勿
袮,丿小衤
裙,丿口尸彐衤
裼,丿日勿衤
襪,丿戈网艹衤
觴,丿日角勿
誥,丿口土言
譌,丿爪言灬
讚,丿儿土言貝
豺,丿亅豸
貶,丿乙亠貝
贊,丿儿土貝
贓,丿冫戈疒臣貝
跌,丿二人口土大足
跣,丿儿口土足
蹙,丿卜口小戈足
躱,丿木身乃
軼,丿二人土大車
輳,丿二人大車
轎,丿冂口大車
轗,丿口心戈車
隨,丿工月阝.
醢,丿口皿酉
鈔,丿小金
鉚,丿卩金
銹,丿禾金乃
鍼,丿口戈金
鑽,丿儿土貝金
阡,丿十阝.
陏,丿月阝.
陞,丿土廾阝.
陟,丿小止阝.
陦,丿二土寸阝.
隲,丿小馬阝.
靜,丿亅二亠土彐月爪青尚
靠,丿口土非
韈,丿戈网革艹
顰,丿十小止田貝頁
飫,丿大食
駛,丿口馬
驕,丿冂口大馬
髓,丿冂冖工月骨辶
鬢,丿宀小彡貝長髟
鯀,丿田糸魚灬
鯊,丿小田魚氵灬
鯑,丿巾田魚灬
鯣,丿勹日田魚灬
鰔,丿口戈田魚灬
鰄,丿女戈田魚灬
鹹,丿卜口囗戈鹵
齲,丿冂凵止禸米虫齒
曳,乙日
奄,乙大日
掩,乙大日扌奄
俺,乙大亻奄
乾,乙十日
亀,乙勹田龜
吃,乙口
孔,乙子
札,乙木
電,乙田雨
縄,乙田糸龜
乳,乙子爪
巴,乙己
蝿,乙田虫龜
氾,乙卩氵
犯,乙卩犭
範,乙卩竹車
迄,乙辶
乱,乙口舌
竜,乙田立
礼,乙礻
亂,乙冂厶爪
吼,乙口子
乢,乙山
扎,乙扌
梍,乙匕木白
淹,乙大日氵奄
煢,乙冖十火
獵,乙口巛臼鼠犭
糺,乙糸
紮,乙木糸
罨,乙大日网奄
菴,乙大日艹奄
訖,乙言
軋,乙車
輒,乙耳車
閹,乙大日門奄
阿,亅口阝.
椅,亅口大木
宇,亅宀干
迂,亅二干辶
何,亅口亻
可,亅口
歌,亅口欠
河,亅口氵
珂,亅口玉
苛,亅口艹
荷,亅口亻艹
俄,亅戈手亻
峨,亅山戈手
我,亅戈手
蛾,亅戈手虫
餓,亅戈手食
廓,亅亠口子广.阝
郭,亅亠口子.阝
奇,亅口大
寄,亅口大宀
騎,亅口大馬
儀,亅戈手玉羊亻丷
犠,亅戈手牛玉羊丷
義,亅戈手玉羊丷
蟻,亅戈手玉羊虫丷
議,亅戈手玉羊言丷
減,亅口戈氵
諺,亅亠彡立言丷
伺,亅口亻
司,亅口
詞,亅口言
飼,亅口艮食个
事,亅口彐
序,亅子广
浄,亅勹彐氵
笥,亅口竹
静,亅亠勹土彐月青
争,亅勹彐
打,亅扌
苧,亅宀艹
貯,亅宀貝
丁,亅
庁,亅广
町,亅田
頂,亅貝頁
亭,亅亠冖口
停,亅亠冖口亻
汀,亅氵
訂,亅言
釘,亅金
塗,亅八土木个氵
途,亅八木个辶
灯,亅火
瀞,亅亠土彐月青氵
寧,亅宀心网
覗,亅口見
烹,亅亠口灬
野,亅矛里
予,亅マ
余,亅二八示个
預,亅欠貝頁マ
了,亅
亊,亅彐丷
舒,亅口干矛舌个マ
于,亅二
佇,亅宀亻
倚,亅口大亻
剞,亅口大刂
叮,亅口
吁,亅二口
呵,亅口
哥,亅口
哦,亅口戈
竒,亅亠口立丷
娥,亅女戈
婀,亅口女阝.
寐,亅二八宀爿
峩,亅山戈
嵜,亅亠口大山立丷
崢,亅尸山彐爪
嶬,亅山戈玉羊丷
彁,亅口弓
抒,亅矛マ扌
掎,亅口大扌
曦,亅戈日玉羊丷
杼,亅木矛
柯,亅口木
檸,亅宀心木网
欹,亅口大欠
淨,亅彐爪氵
渮,亅口氵艹
渟,亅亠冖口氵
濘,亅宀心网氵
烝,亅水灬
爭,亅彐爪
猗,亅口大犭
獰,亅宀心网犭
甼,亅田
畸,亅口大田
疔,亅疒
痾,亅口疒阝.
盂,亅二皿
眄,亅山目
礒,亅口戈玉石羊丷
祠,亅口礻
竚,亅宀立
箏,亅彐爪竹
筝,亅勹彐竹
紆,亅二糸
紵,亅宀糸
綺,亅口大糸
罅,亅二凵匕卜厂缶虍丷
羇,亅凵口大网革
聹,亅宀心网耳
舸,亅口舟
艤,亅戈玉羊舟丷
莪,亅戈艹
荼,亅二八小个艹
蕷,亅矛貝頁艹
蜍,亅二小虫个
訶,亅口言
諍,亅彐爪言
謌,亅口言
軻,亅口車
迹,亅亠八赤辶
酊,亅酉
錚,亅彐爪金
隸,亅彐木水示隶
雋,亅冂凵隹
餘,亅二八干食个
鵝,亅戈鳥灬
鵞,亅戈鳥灬
蔭,二厶个艹阝.
院,二儿宀阝.元
陰,二厶个阝.
云,二厶
雲,二厶雨
会,二厶个
快,二人大忄
絵,二厶糸个
顎,二勹口貝頁
巻,二大己丷
完,二儿宀元
監,二皿臣
艦,二皿臣舟
莞,二儿宀艹元
鑑,二皿臣金
関,二人八大門丷
玩,二儿玉元
頑,二儿貝頁元
侠,二亠人大亻丷
峡,二亠人大山丷
均,二冫勹土
芸,二厶艹
決,二人大氵
訣,二人大言
券,二人刀大大丷
圏,二人囗大大己丷
元,二儿
袴,二勹大衤
誇,二勹大言
跨,二勹口大足
五,二
魂,二儿匕厶田鬼
些,二匕止
咲,二人口大丷
皐,二十白
鯖,二亠土月田青魚灬
錆,二亠土月金青
三,二
讃,二亠人大言貝
賛,二亠人大貝
竺,二竹
勝,二人力大月丷
情,二亠土月青忄
仁,二亻
晴,二亠土日月青
清,二亠土月青氵
精,二亠土月米青
請,二亠土月言青
青,二亠土月
脊,二月癶个
替,二亠人大日
樗,二勹木雨
鍔,二勹口金
転,二厶車
伝,二厶亻
曇,二厶日雨
那,二刀.阝
弐,二弋
溌,二儿癶氵
発,二儿癶
醗,二儿癶酉
桧,二厶木个
夫,二人大
扶,二人大扌
芙,二人大艹
頬,二人貝頁丷
俣,二口大亻
靖,二亠土月立青
伶,二士小彐水
隷,二士小彐水隶
亘,二日
鰐,二勹口田魚灬
弍,二弋
亞,二
亟,二又口
倩,二亠土月青亻
僵,二田亻
儖,二皿臣亻
冀,二八匕爿田
冑,二冂月田
冕,二儿冂月免
冦,二儿冖卜又
冱,二冫
刳,二勹大刂
劵,二人八力大
匏,二勹大己
卷,二人八卩大
咢,二勹口
圈,二人卩囗大丷
堊,二土
壜,二厶土日雨
壼,二冖士
夬,二人大ユ
夸,二勹大
佞,二女亻
娜,二刀女.阝
寇,二儿卜又宀元
彗,二亠土彐
惡,二心
惓,二大己丷忄
愕,二勹口忄
惷,二大心日
愃,二宀日忄
抉,二人大ユ扌
揆,二人大癶扌
撥,二儿癶扌
攘,二亠八衣扌
攤,二隹扌艹
晉,二厶日
暄,二宀日
桍,二勹大木
梛,二刀木.阝
椏,二木
椦,二力大木丷
槿,二土木艹
樸,二木羊丷
檻,二木皿臣
欖,二木臣見
浣,二儿宀氵
渕,二人大丷刂氵
滕,二人大月水丷
猜,二亠土月青犭
畉,二人大田
癈,二儿疒癶
癪,二亠土疒禾貝
癸,二大癶
皖,二儿宀白元
眷,二人大目丷
睛,二亠土月目青
瞎,二亠口土宀目
碾,二口尸石衣
磧,二亠口土石貝
簀,二亠土竹貝
籃,二皿竹臣
籐,二人大月水竹丷
籘,二人大月竹糸丷
紜,二厶糸
絳,二夂糸
綣,二人大己糸丷
縉,二厶日糸
縢,二人大月糸丷
繧,二厶糸雨
繿,二皿糸臣
纉,二亠人大糸貝
纛,二亠土小毋目糸
纜,二糸臣見
罎,二凵厶日缶雨
冐,二冂月
胯,二勹大月
膩,二弋月貝
艱,二人大艮艹
芫,二儿艹元
菁,二亠土月青艹
萼,二勹口艹
蕚,二勹口艹品
蒄,二儿冖寸艹元
蓁,二大禾艹
薑,二田艹
虧,二勹匕卜厂虍隹
蜷,二人大己虫丷
蜻,二亠土月虫青
蠢,二大日虫
袂,二人大衤
襤,二皿臣衤
諤,二勹口言
諠,二宀日言
譛,二人大日言
豢,二人大豕丷
貳,二弋貝
趺,二人口大足
輦,二人大車亻
鄂,二口.阝
鎹,二人八大金辶
鐚,二心金
鑒,二网臣金
鑚,二人儿大貝金
阮,二儿阝.元
靆,二厶彐水隶雨辶
靉,二冖厶夂心爪雨
鰆,二人大日田魚灬
鴃,二人大鳥灬
鶚,二勹口鳥灬
麩,二人夂麥
麸,二亠人土夂大麥
齶,二凵勹口止米齒
哀,亠口衣
虻,亠虫亡
依,亠衣亻
衣,亠
亥,亠人
育,亠厶月
影,亠口小彡日
液,亠夕攴亻氵
円,亠冂
劾,亠人力
咳,亠人口
害,亠口土宀
該,亠人言
骸,亠人冂冖月骨
核,亠人木
較,亠父車
割,亠口土宀刂
轄,亠口土宀車
顔,亠八厂彡立貝頁
棄,亠凵厶木
毅,亠几殳立豕
喫,亠刀口土大
亨,亠口
享,亠口子
京,亠口小
契,亠刀土大
景,亠口小日
鯨,亠口小田魚灬
潔,亠刀土糸氵
憲,亠土宀心网
牽,亠冖厶牛
弦,亠幺弓玄
玄,亠幺
絃,亠幺玄糸
舷,亠幺玄舟
檎,亠冂厶木禸个
交,亠父
佼,亠父亻
倖,亠十立辛亻
効,亠力父
坑,亠几土
幸,亠十立辛
慌,亠巛忄艹
抗,亠几扌
杭,亠几木
校,亠木父
稿,亠冂口禾高
絞,亠父糸
膏,亠冖口月高
航,亠几舟
郊,亠父.阝
高,亠冂口
壕,亠冖口土豕
濠,亠冖口豕氵
豪,亠冖口豕
麹,亠勹土夂米麥
刻,亠刂
債,亠土貝亻
裁,亠厶土戈衣
鮫,亠父田魚灬
姉,亠女巾
市,亠巾
宍,亠八宀
芝,亠艹
縞,亠冂口糸高
充,亠儿厶
銃,亠儿厶金
淳,亠口子氵
醇,亠口子酉
商,亠儿冂口立丷
壌,亠八土衣
嬢,亠八女衣
穣,亠八禾衣
譲,亠八衣言
醸,亠八衣酉
新,亠十斤木立辛丷
薪,亠十斤木立辛丷艹
親,亠十木立見辛丷
翠,亠人冫十羽
衰,亠衣
嵩,亠冂口山高
畝,亠田久
積,亠土禾貝
績,亠土糸貝
責,亠土貝
跡,亠口止赤足
蹟,亠口土貝足
疏,亠厶巛止疋マ
素,亠土糸
爽,亠人
卒,亠人十
鐸,亠十立网辛金
壇,亠口囗土日
檀,亠口日木
畜,亠幺玄田
蓄,亠幺玄田艹
嫡,亠冂十口女立丷啇
漬,亠土貝氵
帝,亠冖巾立丷
締,亠冖巾立糸丷
諦,亠冖巾立言丷
蹄,亠冖口巾立足丷
摘,亠冂十口立丷扌啇
敵,亠冂十口攴立丷啇
滴,亠冂十口立丷氵啇
適,亠冂十口立丷辶啇
鏑,亠冂十口立金丷啇
徹,亠厶彳攴月
撤,亠厶攴月扌
轍,亠厶攴月車
統,亠儿厶糸
毒,亠土毋
惇,亠口子忄
敦,亠口子攴
灘,亠口大隹氵艹
難,亠口大隹艹
肺,亠巾月
抜,亠又夂扌
噺,亠十口斤木立辛丷
塙,亠冂口土高
蛮,亠虫
彦,亠厂彡立丷
変,亠夂
報,亠十卩又土立辛
褒,亠口小衣亻
亡,亠
傍,亠冖方立亻丷
忘,亠心亡
忙,亠忄亡
蓑,亠衣艹
椋,亠口小木
冥,亠八冖日
妄,亠女亡
盲,亠目亡
夜,亠夕亻
擁,亠隹扌
璃,亠凵玉禸
裏,亠衣里
離,亠凵禸隹
率,亠冫十幺玄
掠,亠口小扌
流,亠厶巛氵
琉,亠厶巛玉
硫,亠厶口巛石
亮,亠儿冖口
涼,亠口小氵
諒,亠口小言
恋,亠八心
六,亠八
藁,亠冂口木高艹
湾,亠弓氵
亢,亠几
亰,亠小日
亶,亠口囗日
伉,亠几亻
倅,亠人十亻
偐,亠厂彡立亻丷
傚,亠攴父亻
僭,亠无日亻
儕,亠刀齊亻
凉,亠冫口小
凛,亠冫口囗示
劑,亠齊刂
勍,亠力口小
勣,亠力土貝
卞,亠卜
吭,亠几口
呟,亠口幺玄
咬,亠口父
啻,亠冖口巾立丷
啼,亠冖口巾立丷
喨,亠儿冖口
嘖,亠口土貝
嚆,亠冂口高艹
囃,亠人口木隹
囓,亠凵刀口土止米齒
圉,亠十囗土干立辛
垓,亠人土
埣,亠人十土
壞,亠土网衣
壅,亠土隹
奕,亠八大赤
孩,亠子
幎,亠八冖巾日
廩,亠口囗广禾
弃,亠厶廾
弯,亠八弓赤
悴,亠人十忄
慱,亠十厶寸日虫忄
憬,亠口小日忄
懌,亠十土立网辛忄
懷,亠网衣忄
懍,亠口囗禾忄
抃,亠卜扌
撩,亠人大小日丷扌
擒,亠凵禸个扌
擅,亠口囗日扌
擇,亠十土立网辛扌
撻,亠十土玉立羊辛扌辶
擠,亠齊扌
攅,亠人土大貝扌
效,亠攴父
敲,亠冂口攴高
旁,亠冖方立丷
旒,亠厶巛方
暝,亠八冖日
暾,亠口子攴日
暸,亠大小日丷
柬,亠巾木丷
梳,亠厶巛木
椁,亠口子木
楔,亠刀土大木
楴,亠冖巾木立丷
楝,亠八巾木
槁,亠冂口木高
榠,亠八冖日木
榜,亠冖方木立丷
槨,亠口子木.阝
榱,亠木衣
毓,亠厶巛毋
毫,亠冖口毛
氈,亠口囗毛目
沛,亠巾氵
淬,亠人十氵
滂,亠冖方立丷氵
溟,亠八冖日氵
滾,亠八口衣氵
漓,亠凵禸氵
潦,亠大小日丷氵
澤,亠十土立网辛氵
濟,亠齊氵
燉,亠口子攴火
燎,亠大小日火丷
燵,亠土火立丷辶
犒,亠冂口牛高
狡,亠父犭
猝,亠人十犭
甎,亠十寸日瓦虫
甕,亠幺瓦隹
畆,亠厶田
痃,亠幺玄疒
瘁,亠人十疒
皎,亠父白
眩,亠幺玄目
睾,亠十土目立网辛
瞑,亠八冖日目
碎,亠人十口石
磅,亠冖口方石立丷
磚,亠十厶口寸日石虫
禊,亠刀土大礻
稟,亠口囗禾
禀,亠口囗示
稾,亠冂口禾高
簑,亠口竹衣
簔,亠口竹衣
籬,亠凵禸竹隹
粹,亠人十米
繚,亠大小日糸丷
繹,亠十土立糸网辛
纐,亠父糸貝頁
罔,亠冂丷亡
羶,亠口囗日玉羊丷
肓,亠月亡
腋,亠夕月亻
膀,亠冖方月立丷
膵,亠人十月艹
芒,亠艹亡
萃,亠人十齊艹
蒂,亠冖巾立丷艹
蒿,亠冂口高艹
蒡,亠冖方立丷艹
蔬,亠厶巛止疋艹
薺,亠刀齊艹
蛟,亠父虫
螟,亠八冖日虫
蟀,亠冫十幺玄虫
衒,亠幺彳玄行
袞,亠八口衣
袤,亠矛衣
裹,亠八木田衣
襃,亠口木衣
諄,亠囗子言
謗,亠冖方立言丷
謫,亠冂十口立言丷啇
譯,亠十土立网言辛
豁,亠八口土宀谷个
齎,亠貝齊
躋,亠口足齊
逹,亠十立辛辶
醉,亠人十酉
醯,亠厶巛皿酉
釋,亠十立米网辛釆
鉉,亠幺玄金
鍄,亠口小金
鎬,亠冂口金高
鐓,亠囗子攴金
鐐,亠八大小日金丷
閙,亠巾門
闥,亠十土玉立羊辛門辶
雍,亠幺隹
雜,亠人木隹
霈,亠巾雨氵
霽,亠雨齊
齏,亠韭齊
韲,亠韭齊
頏,亠儿貝頁
顫,亠口囗日貝頁
餃,亠父食
駭,亠人馬
駮,亠父馬
驛,亠十立网辛馬
驪,亠冂广比馬鹿
髞,亠冂口木高品
鬧,亠巾鬥
魑,亠儿凵匕田禸鬼
鵁,亠父鳥灬
鶉,亠口子鳥灬
鵺,亠夕衣鳥灬
鷯,亠小日鳥个丷灬
黐,亠凵禸黍
黥,亠口小里黒灬
齧,亠凵刀土止米齒
凜,亠冫口禾
臥,人臣
渓,人土爪氵
鶏,人土大爪鳥
欠,人勹
倹,人口个亻
剣,人口个刂
検,人口木个
険,人口个阝.
験,人口馬个
鹸,人十口囗鹵个
庚,人广彐
傘,人十个
囚,人囗
潜,人土日氵
閃,人門
朕,人大月丷
槻,人大木見
内,人冂
肉,人冂
納,人冂糸
病,人冂疒
丙,人冂
柄,人冂木
撲,人玉羊丷扌
从,人
仄,人厂
俎,人目
僉,人口个
僣,人土日亻
儉,人口个亻
刔,人大刂ユ
劍,人口个刂
匳,人匚口个
吶,人冂口
咎,人口夂
噬,人口工竹
嗇,人口囗土
墻,人口囗土
夐,人冂勹夂目
夾,人大
姨,人大女弓
孅,人女戈韭
峽,人大山
嶮,人口山个
巫,人工
從,人彳疋
怏,人冂大忄
愴,人口戸忄
懺,人戈韭忄
挾,人大扌
斂,人口攴个
昃,人厂日
暎,人冂大日艹
檢,人口木个
檣,人口囗土木
歛,人口欠个
殃,人冂大歹
殲,人戈歹韭
泱,人冂大氵
泅,人囗氵
洟,人大弓氵
浹,人大氵
滿,人入冂凵氵
瀲,人口攴个氵
炳,人冂火
牆,人口囗土爿
狹,人大犭
璞,人玉羊丷
痍,人大弓疒
瞼,人口目个
秧,人冂大禾
穡,人口囗土禾
筴,人大竹
筮,人工竹
篋,人匚大竹
簽,人口竹个
籤,人戈竹韭
縱,人土彳糸走亻
纖,人戈糸韭
羮,人大玉羊丷灬
肭,人冂月
腴,人日月臼
臉,人口月个
臾,人臼
艢,人口囗土舟
莢,人大艹
萸,人日臼艹
蓙,人土广艹
薔,人口囗土艹
蚋,人冂虫
衲,人冂衤
覡,人工見
訥,人冂言
誣,人工言
諛,人日臼言
讖,人戈言韭
賚,人八木貝
蹐,人冫口月癶足
蹼,人口玉羊足丷
銕,人大弓金
鋏,人大金个
陋,人冂阝.
陜,人大阝.
陝,人入大阝.
險,人口个阝.
靈,人口工雨
靹,人冂革
鞅,人冂凵口大革
鞆,人冂革
驗,人口馬个
鰮,人囗田皿魚灬
鵐,人工鳥灬
鶺,人冫月鳥灬
齒,人凵止
齡,人凵卩止齒个
綾,儿土夂糸
允,儿厶
胤,儿幺月
厩,儿厂牙艮
鋭,儿口金个丷
悦,儿口丷忄
閲,儿口門丷
塊,儿匕厶土田鬼
魁,儿厶斗田鬼
界,儿田个
芥,儿个艹
隔,儿冂口鬲阝.
兜,儿白
竃,儿土宀穴龜
冠,儿冖寸
勘,儿力匚甘
喚,儿冂勹口大
堪,儿匚土甘
換,儿冂勹大扌
翫,儿冫白羽元
輝,儿冖車尚
鬼,儿匕厶田
橘,儿冂口木矛
究,儿宀穴九
窮,儿宀弓穴身
競,儿口立
境,儿土日立音
況,儿口氵
鏡,儿日立金音
尭,儿十廾
暁,儿十廾日
空,儿宀工穴
窪,儿土宀穴氵
兄,儿口
見,儿目
虎,儿匕卜厂虍
光,儿尚
控,儿宀工穴扌
晃,儿日尚
腔,儿宀工月穴
克,儿十口
唆,儿厶口夂
堺,儿八土田
酸,儿厶夂酉
四,儿囗
呪,儿口
蒐,儿匕田鬼艹
醜,儿匕田酉鬼
祝,儿口礻
俊,儿厶夂亻
峻,儿厶夂山
竣,儿厶夂立
駿,儿厶夂馬
焼,儿十火
深,儿冖木氵
甚,儿甘
税,儿口禾丷
窃,儿刀匕宀穴
説,儿口言丷
穿,儿宀牙穴
窓,儿厶宀心穴
続,儿冖士糸
脱,儿口月丷
探,儿冖木扌
窒,儿厶土宀穴至
兆,儿冫
挑,儿冫扌
眺,儿冫目
跳,儿冫口足
銚,儿冫金
纏,儿土广糸里
党,儿冖口尚
桃,儿冫木
逃,儿冫辶
涜,儿冖士氵
禿,儿禾
読,儿冖士士言
突,儿大宀穴
廃,儿广癶
売,儿冖士
晩,儿日免
匹,儿匚
菱,儿土夂艹
彪,儿匕卜厂彡虍
勉,儿力免
娩,儿女免
貌,儿白豸
睦,儿土目
幌,儿巾日尚
魔,儿匕广木田鬼麻
融,儿冂口虫鬲
窯,儿宀玉穴羊丷灬
耀,儿彐隹尚
陸,儿土阝.
凌,儿冫土夂
稜,儿土夂禾
陵,儿土夂阝.
价,儿个亻
佻,儿冫亻
俛,儿亻免
倪,儿臼亻
倥,儿宀工穴亻
傀,儿匕厶田鬼亻
僥,儿土亻
兀,儿
兒,儿臼
兌,儿口丷
兢,儿十口
竸,儿日立音
冏,儿冂口
况,儿冫口
剋,儿十口刂
吮,儿厶口
啌,儿口宀工穴
圀,儿囗方
奐,儿冂勹大
姚,儿冫女
尅,儿十口寸
崚,儿土夂山
嵬,儿匕山田鬼
嶢,儿土山
巍,儿匕女山田禾鬼
帶,儿冖凵巾
廛,儿土广里
忱,儿冖尢忄
恍,儿尚忄
悛,儿厶夂忄
悗,儿忄免
愧,儿匕田鬼忄
憺,儿勹厂言忄
戡,儿匚戈甘
擔,儿厂言マ扌
撓,儿土扌
攜,儿冂口山隹扌
斟,儿匚斗甘
晄,儿日尚
晁,儿冫日
曉,儿土日
梭,儿厶夂木
椶,儿凵夂木
椹,儿匚木甘
槐,儿匕木田鬼
橈,儿土木
檐,儿厂木言
殼,儿冖土殳
泗,儿囗氵
洸,儿尚氵
淕,儿土氵
渙,儿冂大氵
滉,儿日尚氵
滯,儿冖凵巾氵
澆,儿土氵
濳,儿土日氵
澹,儿厂言氵
烱,儿冂口火
煥,儿冂大火
燒,儿土火
牘,儿囗士片貝
犢,儿囗士牛貝
猊,儿臼犭
獻,儿冂匕卜厂口犬虍鬲
琥,儿匕卜厂玉虍
瑰,儿匕玉田鬼
痲,儿十木疒
皃,儿白
皴,儿厶又夂皮
睨,儿目臼
瞻,儿勹厂目言
碪,儿匚口甘石
磽,儿口土石
禝,儿夂田礻
稷,儿夂田禾
穹,儿宀弓穴
窈,儿力宀幺穴
窗,儿囗夕宀穴
窕,儿冫宀穴
竈,儿土宀穴黽
窰,儿凵夕宀穴缶
竅,儿宀攴方白穴
竄,儿宀穴臼鼠
窿,儿夂宀生穴阝.
邃,儿宀穴豕丷辶
竇,儿冂士宀穴貝
竊,儿冂卜厶宀禸穴米釆
筅,儿土竹
箜,儿宀工穴竹
簷,儿厂竹言
糂,儿匚甘米
鬻,儿冂口弓米鬲
絖,儿糸尚
繞,儿土糸
續,儿囗士糸貝
纔,儿比糸
罕,儿冖干
羌,儿玉羊丷
翹,儿冫土羽
胱,儿月尚
膈,儿冂口月鬲
膣,儿厶土宀月穴至
膽,儿勹厂月言
莵,儿匕鬼艹
蔆,儿土夂氵艹
蔕,儿冖凵巾艹
蕘,儿土艹
薐,儿土夂禾艹
藐,儿日豸艹
號,儿勹匕卜厂口虍
蛻,儿口虫丷
蟯,儿土虫
蟾,儿厂虫言
裔,儿冂口衣
褫,儿匕卜厂虍衤
覿,儿囗士見貝
誂,儿冫言
謖,儿夂田言
譎,儿冂口矛言
譫,儿勹厂言
讀,儿囗士言貝
讒,儿口比言
貎,儿臼豸
贍,儿厂言貝
贖,儿囗士貝
躔,儿口土广田足
輓,儿車免
逡,儿厶夂辶
逵,儿土辶
遞,儿匕卜厂虍辶
遶,儿土辶
邊,儿宀方穴自辶
鍖,儿匚甘金
鐃,儿土金
鑁,儿凵夂金
隗,儿匕田鬼阝.
霓,儿臼雨
竟,儿日立音
餽,儿匕田食鬼
饒,儿土食
饕,儿匕卜厂口虍食
駟,儿囗馬
驍,儿土馬
鬩,儿臼鬥
鬲,儿冂口
魄,儿匕田白鬼
魏,儿匕女田禾鬼
魍,儿冂匕田鬼丷亡
魘,儿匕厂日月犬田鬼
鯢,儿田臼魚灬
鯱,儿匕卜厂田虍魚灬
鷸,儿冂口矛鳥灬
麑,儿广比臼鹿
黷,儿囗士貝里黒灬
堯,儿土
込,入辶
兪,入月个
叺,入口
圦,入土
杁,入木
柩,入匚木久
窩,入冂口宀穴
糴,入彐米隹
蹣,入冂凵口足
鳰,入鳥灬
異,八田井
溢,八皿丷尚氵
