kanji,num,meaning,radicals,kanji_in_concept_meaning,h2_concept,h3_concept
極,426,poles,又口木,,,
玉,427,ball,丶,jewel,Nature,Natural_Substances
巾,428,towel,｜冂,towel,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
斤,429,axe,,axe,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
均,430,level,二冫勹土,,,
近,431,near,斤辶,recent,Time_(時),
金,432,gold,,gold,Human_activities,Money_(銭)_and_Commerce_(商)
菌,433,germ,囗禾艹,,,
勤,434,diligence,力口土艹,,,
琴,435,harp,玉个,"cithare, harp",Human_activities,Culture
筋,436,muscle,力月竹,muscles,Body_(身),General_2
僅,437,a wee bit,口土亻艹,,,
禁,438,prohibition,木示,,,
緊,439,tense,又糸臣,,,
錦,440,brocade,巾白金,brocade,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
謹,441,discreet,口土言艹,,,
襟,442,collar,木示衤,collar,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
吟,443,versify,口个,recite,Human_activities,Language_(語)_and_Communication
銀,444,silver,艮金,silver,Nature,Natural_Substances
区,445,ward,丶丿匚,ward,Artificial_Structures_and_Products,Cities_(市)
句,446,phrase,勹口,phrase,Human_activities,Language_(語)_and_Communication
苦,447,suffer,十口艹,,,
駆,448,drive,丶丿匚馬,,,
具,449,tool,八目,tool,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
惧,450,dread,八目忄,dread,Emotions_and_Senses_(感),Emotions_(情)
愚,451,foolish,冂厶心田禸,,,
空,452,sky,儿宀工穴,"void, sky",Nature,Sky
偶,453,accidentally,冂厶田禸亻,,,
遇,454,interview,冂厶田禸辶,,,
隅,455,corner,冂厶日田禸阝.,corner,Physical_Attributes_and_Properties,Form_and_Shape_(形)
串,456,skewer,｜口,skewer,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
屈,457,yield,｜尸山,,,
掘,458,dig,｜尸山扌,,,
窟,459,cavern,｜儿宀尸山穴,cave,Nature,Land_(陸)_and_Topography
熊,460,bear,匕厶月灬,bear,Nature,Animals_(獣)
繰,461,winding,口木糸品,,,
君,462,you,丿口日,you,People_(人),General
訓,463,instruction,巛言,,,
勲,464,meritorious deed,｜丿力日田灬,,,
薫,465,fragrant,｜丿日艹灬,,,
軍,466,army,冖車,,,
郡,467,county,口.阝,,,
群,468,flock,口玉羊丷,"flock, crowd",People_(人),Groups_(団)
兄,469,older brother,儿口,older brother,People_(人),Family_(家_/_族)
刑,470,punish,丿廾刂,,,
形,471,shape,丿廾彡,,,
系,472,lineage,丿糸,,,
径,473,diameter,又土彳,,,
茎,474,stalk,又土艹,stem,Nature,Plants_(植)_and_Trees_(樹)
係,475,person in charge,丿糸亻,person in charge,People_(人),Roles_and_status
型,476,model,丿土廾刂,,,
契,477,pledge,亠刀土大,,,
計,478,measure,十言,,,
恵,479,favor,心田,,,
啓,480,disclose,口戸攴,,,
掲,481,put up (a notice),勹匕日扌,,,
渓,482,mountain stream,人土爪氵,ravine,Nature,Land_(陸)_and_Topography
経,483,manage,又土糸,,,
蛍,484,lightning-bug,冖虫尚,firefly,Nature,Animals_(獣)
敬,485,respect,勹口攴艹,respect,Emotions_and_Senses_(感),Emotions_(情)
景,486,scenery,亠口小日,,,
軽,487,light,又土車,light (weight),Physical_Attributes_and_Properties,Miscellaneous_properties
傾,488,lean,匕貝頁亻,,,
携,489,portable,丿隹乃扌,,,
継,490,inherit,｜米糸,,,
詣,491,visit a temple,匕日言,temple visit,Human_activities,Religion_(宗)_and_the_Supernatural_World
慶,492,jubilation,冖夂广心,jubilation,Emotions_and_Senses_(感),Emotions_(情)
憬,493,long for,亠口小日忄,yearning,Emotions_and_Senses_(感),Emotions_(情)
稽,494,consider,匕日禾尤,,,
憩,495,recess,口心自舌,,,
警,496,guard against,勹口夂攴言艹,,,
鶏,497,chicken,人土大爪鳥,chicken,Nature,Animals_(獣)
芸,498,art,二厶艹,art,Human_activities,Culture
迎,499,welcome,卩辶,,,
鯨,500,whale,亠口小田魚灬,whale,Nature,Animals_(獣)
隙,501,fissure,小日阝.,,,
劇,502,drama,匕卜厂虍豕刂,"drama, play",Human_activities,Culture
撃,503,beat,手殳車,"beat, attack",Human_activities,War_(戦)
激,504,violent,攴方白氵,violent excitement,Emotions_and_Senses_(感),Emotions_(情)
桁,505,beam,彳木行,digit,Numbers_(数),Counting_(計)_&_Sequence_(序)
欠,506,lack,人勹,,,
穴,507,hole,八宀,,,
血,508,blood,皿,blood,Body_(身),General_2
決,509,decide,二人大氵,,,
結,510,tie,口士糸,,,
傑,511,greatness,夕木舛亻,great man,People_(人),Roles_and_status
潔,512,undefiled,亠刀土糸氵,,,
月,513,"month, moon",,moon,Nature,Sky
犬,514,dog,丶大,dog,Nature,Animals_(獣)
件,515,affair,牛亻,,,
見,516,see,儿目,,,
券,517,ticket,二人刀大大丷,,,
肩,518,shoulder,戸月,shoulder,Body_(身),Limbs_(肢)
建,519,build,廴聿,,,
研,520,sharpen,｜丿亅口廾石,"study, research",Human_activities,Culture
県,521,prefecture,小目,,,
倹,522,frugal,人口个亻,,,
兼,523,concurrently,｜八彐丷,,,
剣,524,sabre,人口个刂,,,
拳,525,fist,大手丷,fist,Body_(身),Limbs_(肢)
軒,526,flats,干車,counter for houses,Numbers_(数),Counters_(個)
健,527,healthy,廴聿亻,,,
険,528,precipitous,人口个阝.,,,
圏,529,sphere,二人囗大大己丷,sphere,Physical_Attributes_and_Properties,Form_and_Shape_(形)
堅,530,strict,又土臣,,,
検,531,examine,人口木个,,,
嫌,532,dislike,｜八女彐丷,dislike,Emotions_and_Senses_(感),Emotions_(情)
献,533,offering,冂十干犬丷,,,
絹,534,silk,口月糸,silk,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
遣,535,dispatch,｜口辶,,,
権,536,rights,木矢隹,,,
憲,537,constitution,亠土宀心网,,,
賢,538,intelligent,又臣貝,,,
謙,539,self-effacing,｜八彐言丷,,,
鍵,540,key,廴聿金,key,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
繭,541,cocoon,冂糸虫風艹,,,
顕,542,appear,日貝頁,,,
験,543,test,人口馬个,,,
懸,544,suspend,丿小心目糸,,,
元,545,origin,二儿,,,
幻,546,phantasm,幺,phantom,Human_activities,Religion_(宗)_and_the_Supernatural_World
玄,547,mysterious,亠幺,,,
言,548,say,,say,Human_activities,Language_(語)_and_Communication
弦,549,bowstring,亠幺弓玄,string,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
限,550,limit,艮阝.,,,
原,551,field,厂小白,field,Nature,Land_(陸)_and_Topography
現,552,appear,玉見,,,
舷,553,gunwale,亠幺玄舟,sides of a boat,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
減,554,decrease,亅口戈氵,"to decrease, to subtract",Numbers_(数),Calculations_(算)
源,555,origin,厂小白氵,,,
厳,556,strict,厂攴耳尚,,,
己,557,self,,oneself,People_(人),General
戸,558,door,,counter for houses,Numbers_(数),Counters_(個)
古,559,old,十口,old,Time_(時),
呼,560,call,丿亅口丷,,,
固,561,hard,十口囗,firm or solid,Physical_Attributes_and_Properties,Miscellaneous_properties
股,562,crotch,月殳,thighs,Body_(身),Limbs_(肢)
虎,563,tiger,儿匕卜厂虍,tiger,Nature,Animals_(獣)
孤,564,orphan,子瓜,,,
弧,565,arc,弓瓜,arc,Physical_Attributes_and_Properties,Form_and_Shape_(形)
故,566,circumstances,十口攴,,,
枯,567,wither,十口木,,,
個,568,individual,十口囗亻,,,
庫,569,warehouse,广車,,,
湖,570,lake,十口月氵,lake,Nature,Land_(陸)_and_Topography
雇,571,employ,戸隹,,,
誇,572,boast,二勹大言,,,
鼓,573,drum,十又口士支豆丷,drum,Human_activities,Culture
錮,574,tie up,十口囗金,,,
顧,575,look back,戸貝隹頁,,,
五,576,five,二,5,Numbers_(数),
互,577,mutually,彐彑,,,
午,578,noon,丿十干,noon,Time_(時),Divisions_of_the_Day
呉,579,give,八口,,,
後,580,behind,夂幺彳,after,Time_(時),
娯,581,recreation,八口女,fun,Emotions_and_Senses_(感),Emotions_(情)
悟,582,enlightenment,口忄,,,
碁,583,Go,｜二八口石,,,
語,584,language,口言,,,
誤,585,mistake,八口言,,,
護,586,safeguard,又言隹艹,,,
口,587,mouth,囗,mouth,Body_(身),Head_(頭)_and_Neck_(首)
工,588,craft,,manufacture,Human_activities,Money_(銭)_and_Commerce_(商)
公,589,public,八厶,,,
勾,590,capture,勹厶,,,
孔,591,cavity,乙子,,,
功,592,achievement,力工,,,
巧,593,adroit,勹工,,,
広,594,wide,厶广,wide,Physical_Attributes_and_Properties,Form_and_Shape_(形)
甲,595,armor,｜日田,,,
交,596,mix,亠父,,,
光,597,ray,儿尚,light,Nature,Weather
向,598,over there,冂口,toward,Directions_(方)_and_Spatial_Relationships,
后,599,empress,丿亅厂口斤,empress,People_(人),Roles_and_status
好,600,like,女子,like,Emotions_and_Senses_(感),Emotions_(情)
江,601,inlet,工氵,creek,Nature,Land_(陸)_and_Topography
考,602,think,老,to think,Emotions_and_Senses_(感),Judgment_(評)
行,603,go,彳,to go or to perform,Directions_(方)_and_Spatial_Relationships,Movement
坑,604,pit,亠几土,,,
孝,605,filial piety,子老,,,
抗,606,confront,亠几扌,,,
攻,607,aggression,工攴,attack,Human_activities,War_(戦)
更,608,grow late,丿日,,,
効,609,effect,亠力父,,,
幸,610,happiness,亠十立辛,happy,Emotions_and_Senses_(感),Emotions_(情)
拘,611,arrest,勹口扌,,,
肯,612,agreement,月止,,,
侯,613,marquis,矢亻,"lord, marquis",People_(人),Roles_and_status
厚,614,thick,厂子日,thick,Physical_Attributes_and_Properties,Miscellaneous_properties
恒,615,constancy,日忄,,,
洪,616,deluge,｜二八氵,flood,Nature,Weather
皇,617,emperor,玉白,emperor or sovereign,People_(人),Roles_and_status
紅,618,deep red,工糸,crimson,Physical_Attributes_and_Properties,Colours_(色)
荒,619,laid waste,巛艹亡,,,
郊,620,outskirts,亠父.阝,,,
香,621,incense,日禾,pleasant smell,Emotions_and_Senses_(感),Senses
候,622,climate,｜矢亻,climate,Nature,Weather
校,623,school,亠木父,school,Human_activities,Culture
耕,624,till,｜亅八土木耒井,,,
航,625,cruise,亠几舟,,,
貢,626,tribute,工貝,,,
降,627,descend,十夂阝.,,,
高,628,"tall, expensive",亠冂口,expensive,Human_activities,Money_(銭)_and_Commerce_(商)
康,629,health,广彐水隶,,,
控,630,withdraw,儿宀工穴扌,,,
梗,631,close up,丿日木,,,
黄,632,yellow,八田,yellow,Physical_Attributes_and_Properties,Colours_(色)
喉,633,throat,口矢亻,throat,Body_(身),Head_(頭)_and_Neck_(首)
慌,634,disconcerted,亠巛忄艹,disconcerting,Emotions_and_Senses_(感),Emotions_(情)
港,635,harbor,八己氵井,,,
硬,636,stiff,丿口日石,hard,Physical_Attributes_and_Properties,Miscellaneous_properties
絞,637,strangle,亠父糸,,,
項,638,paragraph,工貝頁,,,
溝,639,gutter,冂十氵,,,
鉱,640,mineral,厶广金,ore,Nature,Natural_Substances
構,641,construct,冂十木,,,
綱,642,hawser,冂山糸丷岡,rope,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
酵,643,fermentation,子老酉,,,
稿,644,draft,亠冂口禾高,,,
興,645,entertain,八冂口臼,,,
衡,646,equilibrium,勹大彳田行,,,
鋼,647,steel,冂山金丷岡,steel,Nature,Natural_Substances
講,648,lecture,冂十言,lecture,Human_activities,Language_(語)_and_Communication
購,649,subscription,｜冂十貝,purchase,Human_activities,Money_(銭)_and_Commerce_(商)
乞,650,beg,丿乙,,,
号,651,number,勹口,,,
合,652,fit,口个,,,
拷,653,torture,老扌,,,
剛,654,sturdy,冂山丷刂岡,,,
傲,655,be proud,土攴方亻,pride,Emotions_and_Senses_(感),Emotions_(情)
豪,656,overpowering,亠冖口豕,,,
克,657,overcome,儿十口,,,
告,658,tell,丿口土,tell,Human_activities,Language_(語)_and_Communication
谷,659,valley,八口个,valley,Nature,Land_(陸)_and_Topography
刻,660,engrave,亠刂,,,
国,661,country,丶囗玉,country,People_(人),Groups_(団)
黒,662,black,里灬,black,Physical_Attributes_and_Properties,Colours_(色)
穀,663,cereals,冖士殳禾,cereal,Food_(食)_and_Drink_(飲),
酷,664,cruel,丿口土酉,,,
獄,665,prison,犬言犭,,,
骨,666,bone,冂冖月,bone,Body_(身),General_2
駒,667,horse,勹口馬,,,
込,668,crowded,入辶,,,
頃,669,times,匕貝頁,"time, about",Time_(時),
今,670,now,个,now,Time_(時),
困,671,become distressed,囗木,,,
昆,672,descendants,日比,descendants,People_(人),Family_(家_/_族)
恨,673,rancor,艮忄,resentment,Emotions_and_Senses_(感),Emotions_(情)
根,674,root,木艮,root,Nature,Plants_(植)_and_Trees_(樹)
婚,675,marriage,女日氏,marry,People_(人),Family_(家_/_族)
混,676,mix,日比氵,,,
痕,677,mark,疒艮,scar,Body_(身),Health_(体)
紺,678,dark blue,甘糸,dark blue,Physical_Attributes_and_Properties,Colours_(色)
魂,679,soul,二儿匕厶田鬼,soul,Human_activities,Religion_(宗)_and_the_Supernatural_World
墾,680,ground-breaking,土爪艮豸犭,,,
懇,681,sociable,心爪艮豸犭,,,
左,682,left (direction),丿工,left,Directions_(方)_and_Spatial_Relationships,
佐,683,help,丿工亻,,,
沙,684,sand,丿小氵,sand,Nature,Natural_Substances
査,685,investigate,木目,,,
砂,686,sand,丿口小石,sand,Nature,Natural_Substances
唆,687,tempt,儿厶口夂,,,
差,688,distinction,丿工玉羊丷,,,
詐,689,lie,｜丿言,,,
鎖,690,chain,貝金尚,chain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
座,691,sit,｜入土广,sit,Body_(身),Actions
挫,692,sprain,｜入土扌,,,
才,693,genius,丿亅,,,
再,694,again,｜冂玉,,,
災,695,disaster,巛火,natural disaster,Nature,Weather
妻,696,wife,｜女彐,wife,People_(人),Roles_and_status
采,697,form,木爪,,,
砕,698,smash,丿十口石九,,,
宰,699,superintend,十宀立辛,,,
栽,700,plantation,土戈木,the cultivation of plants,Nature,Plants_(植)_and_Trees_(樹)
彩,701,coloring,彡木爪,brightly coloured,Physical_Attributes_and_Properties,Colours_(色)
採,702,pick,木爪扌,,,
済,703,settle,｜丿廾文齊氵,,,
祭,704,festival,癶示个,festival,Human_activities,Culture
斎,705,purification,｜丿廾文示齊,,,
細,706,thin,田糸,slender,Physical_Attributes_and_Properties,Miscellaneous_properties
菜,707,vegetable,木爪艹,vegetable,Food_(食)_and_Drink_(飲),
最,708,most,又日耳,,,
裁,709,judge,亠厶土戈衣,,,
債,710,bond,亠土貝亻,bond or debt,Human_activities,Money_(銭)_and_Commerce_(商)
催,711,sponsor,山隹亻,,,
塞,712,obstruct,八土宀,,,
歳,713,year-end,丿小戈止,,,
載,714,ride,土戈車,,,
際,715,occasion,丿癶示阝.,"moment, occasion",Time_(時),
埼,716,cape (geography),｜口土大,cape or promontory,Nature,Land_(陸)_and_Topography
在,717,exist,｜丿土,,,
材,718,lumber,丿亅木,timber or material,Nature,Natural_Substances
剤,719,dose,｜丿廾文齊刂,medicine,Body_(身),Health_(体)
財,720,wealth,丿亅貝,wealth,Human_activities,Money_(銭)_and_Commerce_(商)
罪,721,guilt,网非,sin or taboo,Human_activities,Religion_(宗)_and_the_Supernatural_World
崎,722,promontory,｜口大山,cape or promontory,Nature,Land_(陸)_and_Topography
作,723,make,｜丿亻,,,
削,724,plane,月刂尚,,,
昨,725,previous,｜丿日,previous time,Time_(時),
柵,726,fence,｜亅冂木冊,,,
索,727,cord,冖十糸,cord,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
策,728,scheme,｜亅八冂巾木竹,,,
酢,729,vinegar,｜丿酉,vinegar,Food_(食)_and_Drink_(飲),
搾,730,squeeze,｜丿儿宀穴扌,,,
錯,731,confused,｜日金,,,
咲,732,blossom,二人口大丷,,,
冊,733,counter for books,｜亅冂廾,counter for books,Numbers_(数),Counters_(個)
札,734,tag,乙木,banknote,Human_activities,Money_(銭)_and_Commerce_(商)
刷,735,printing,尸巾刂,,,
刹,736,temple,木刂,temple,Human_activities,Religion_(宗)_and_the_Supernatural_World
拶,737,be imminent,夕巛扌,,,
殺,738,kill,丶丿木殳,kill,Human_activities,War_(戦)
察,739,guess,丿宀癶示,,,
撮,740,snapshot,又日耳扌,,,
擦,741,grate,丿宀癶示扌,,,
雑,742,miscellaneous,木隹九,,,
皿,743,dish,,dish or plate,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
三,744,three,二,3,Numbers_(数),
山,745,mountain,,mountain or peak,Nature,Land_(陸)_and_Topography
参,746,participate,厶彡,,,
桟,747,scaffold,丶丿木毛,,,
蚕,748,silkworm,大虫,silkworm,Nature,Animals_(獣)
惨,749,wretched,厶彡忄,,,
産,750,give birth,丿亠厂生立丷,product,Human_activities,Money_(銭)_and_Commerce_(商)
傘,751,umbrella,人十个,umbrella,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
散,752,scatter,｜攴月,,,
算,753,calculate,廾目竹,,,
酸,754,acid,儿厶夂酉,sour,Emotions_and_Senses_(感),Senses
賛,755,approve,二亠人大貝,,,
残,756,remainder,丶丿歹毛,,,
斬,757,kill by slicing,斤車,cut with a sword,Human_activities,War_(戦)
暫,758,temporarily,斤日車,a while,Time_(時),
士,759,gentleman,,man or gentleman,People_(人),Roles_and_status
子,760,child,,child,People_(人),General
支,761,branch,十又,,,
止,762,stop,,stop,Body_(身),Actions
氏,763,family name,,courtesy title,People_(人),Roles_and_status
仕,764,do,士亻,,,
史,765,history,丿口,,,
司,766,director,亅口,,,
四,767,four,儿囗,4,Numbers_(数),
市,768,market,亠巾,,,
矢,769,arrow,丿大,,,
旨,770,delicious,匕日,,,
死,771,death,匕夕歹,death,Body_(身),Health_(体)
糸,772,thread,小幺,thread,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
至,773,climax,厶土,,,
伺,774,pay respects,亅口亻,,,
志,775,intention,士心,,,
私,776,me,厶禾,I or me,People_(人),General
使,777,use,丿口亻,messenger,People_(人),Roles_and_status
刺,778,thorn,｜亅八冂巾木刂,,,
始,779,begin,厶口女,begin,Time_(時),
姉,780,older sister,亠女巾,older sister,People_(人),Family_(家_/_族)
枝,781,branch,十又支木,branch,Nature,Plants_(植)_and_Trees_(樹)
祉,782,welfare,止礻,,,
肢,783,limb,十又支月,,,
姿,784,figure,冫女欠,figure,Physical_Attributes_and_Properties,Form_and_Shape_(形)
思,785,think,心田,to think,Emotions_and_Senses_(感),Judgment_(評)
指,786,finger,匕日扌,finger,Body_(身),Limbs_(肢)
施,787,carry out,丿方也,,,
師,788,expert,｜口巾,expert,People_(人),Roles_and_status
恣,789,selfish,冫心欠,,,
紙,790,paper,氏糸,paper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
脂,791,fat,匕日月,fat or resin,Nature,Natural_Substances
視,792,look at,見礻,,,
紫,793,purple,匕止糸,violet,Physical_Attributes_and_Properties,Colours_(色)
詞,794,poetry,亅口言,words,Human_activities,Language_(語)_and_Communication
歯,795,tooth,凵止米齒,tooth,Body_(身),Head_(頭)_and_Neck_(首)
嗣,796,heir,｜亅冂口,,,
試,797,test,工弋言,,,
詩,798,poem,土寸言,poetry,Human_activities,Culture
資,799,resources,冫欠貝,capital,Human_activities,Money_(銭)_and_Commerce_(商)
飼,800,domesticate,亅口艮食个,,,
誌,801,document,士心言,"document, journal",Human_activities,Language_(語)_and_Communication
雌,802,feminine,匕止隹,,,
摯,803,seriousness,丶丿十手立辛九,,,
賜,804,grant,日貝勿,,,
諮,805,consult with,冫口欠言,,,
示,806,indicate,,,,
字,807,letter,子宀,character,Human_activities,Language_(語)_and_Communication
寺,808,Buddhist temple,土寸,Buddhist temple,Human_activities,Religion_(宗)_and_the_Supernatural_World
次,809,next,冫欠,next,Numbers_(数),Counting_(計)_&_Sequence_(序)
耳,810,ear,,ear,Body_(身),Head_(頭)_and_Neck_(首)
自,811,oneself,,oneself,People_(人),General
似,812,becoming,丶人亻,,,
児,813,child,｜儿日,child,People_(人),General
事,814,abstract thing,亅口彐,,,
侍,815,waiter,土寸亻,,,
治,816,govern,厶口氵,cure,Body_(身),Health_(体)
持,817,hold,土寸扌,,,
時,818,time,土寸日,hour,Time_(時),Divisions_of_the_Day
滋,819,nourishing,幺丷氵,,,
慈,820,mercy,幺心丷,affection or benevolence,Emotions_and_Senses_(感),Emotions_(情)
辞,821,resign,十口立舌辛,word,Human_activities,Language_(語)_and_Communication
磁,822,magnet,口幺石丷,porcelain,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
餌,823,bait,耳艮食,,,
璽,824,emperor's seal,｜八冂爻玉,,,
鹿,825,deer,广比,deer,Nature,Animals_(獣)
式,826,style,工弋,,,
識,827,discriminating,戈日立言音,,,
軸,828,axis,｜日田車,axle,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
七,829,seven,丿乙匕,7,Numbers_(数),
𠮟,830,scold,,,,
失,831,lose,丿二人大,,,
室,832,room,厶土宀至,,,
疾,833,rapidly,疒矢,disease,Body_(身),Health_(体)
執,834,tenacious,丶丿亠十土立辛九,,,
湿,835,damp,｜日氵,damp,Physical_Attributes_and_Properties,Miscellaneous_properties
嫉,836,envy,女疒矢,"envy, jealousy",Emotions_and_Senses_(感),Emotions_(情)
漆,837,lacquer,木水个氵,lacquer,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
質,838,quality,斤貝,,,
実,839,truth,士大宀,fruit,Food_(食)_and_Drink_(飲),
芝,840,turf,亠艹,,,
写,841,copy,冖勹,,,
社,842,company,土礻,Shinto shrine,Human_activities,Religion_(宗)_and_the_Supernatural_World
車,843,car,,,,
舎,844,cottage,口土个,,,
