kanji,num,meaning,radicals,kanji_in_concept_meaning,h2_concept,h3_concept
者,845,someone,日老,person (usually with qualifier),People_(人),General
射,846,shoot,寸身,shoot at,Human_activities,War_(戦)
捨,847,throw away,口土个扌,,,
赦,848,pardon,土攴赤,,,
斜,849,diagonal,斗禾个,diagonal,Physical_Attributes_and_Properties,Form_and_Shape_(形)
煮,850,boil,日老灬,,,
遮,851,intercept,广辶灬,,,
謝,852,apologize,寸言身,,,
邪,853,wicked,牙.阝,,,
蛇,854,snake,匕宀虫,snake,Nature,Animals_(獣)
尺,855,shaku,丶尸,Japanese foot (around 30 cm),Numbers_(数),Units_of_Measurement_(測)
借,856,borrow,日亻,,,
酌,857,bartending,丶勹酉,to serve alcohol,Food_(食)_and_Drink_(飲),Cooking_(炊)
釈,858,explanation,丶尸米釆,,,
爵,859,baron,寸爪网艮,noble rank,People_(人),Roles_and_status
若,860,young,丿口艹,young,Time_(時),
弱,861,weak,冫弓,weak,Physical_Attributes_and_Properties,Miscellaneous_properties
寂,862,loneliness,卜又宀小,loneliness,Emotions_and_Senses_(感),Emotions_(情)
手,863,hand,,hand,Body_(身),Limbs_(肢)
主,864,master,丶玉,master or husband,People_(人),Roles_and_status
守,865,protect,宀寸,,,
朱,866,vermilion,｜丿二八木牛,vermilion,Physical_Attributes_and_Properties,Colours_(色)
取,867,take,又耳,,,
狩,868,hunt,宀寸犭,,,
首,869,neck,目自丷,,,
殊,870,particularly,｜丿二八木歹牛,,,
珠,871,pearl,｜丿二八木牛玉,pearl or jewel,Nature,Natural_Substances
酒,872,alcoholic drink,酉氵,alcoholic drink,Food_(食)_and_Drink_(飲),
腫,873,tumor,｜日月里,,,
種,874,kind,｜日禾里,,,
趣,875,gist,又土耳走,,,
寿,876,longevity,丿二寸,,,
受,877,accept,冖又爪,,,
呪,878,curse,儿口,,,
授,879,instruct,冖又爪扌,,,
需,880,demand,而雨,,,
儒,881,Confucian,而雨亻,Confucianism,Human_activities,Culture
樹,882,trees,口土寸木豆丷,,,
収,883,take in,｜又,,,
囚,884,captured,人囗,,,
州,885,state,｜丶巛,,,
舟,886,boat,,boat,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
秀,887,excel,禾乃,,,
周,888,circumference,冂口土,perimeter,Physical_Attributes_and_Properties,Form_and_Shape_(形)
宗,889,religion,宀示,,,
拾,890,pick up,口个扌,,,
秋,891,autumn,火禾,Autumn,Time_(時),Seasons_(季_/_候)
臭,892,stinking,大自,bad smell,Emotions_and_Senses_(感),Senses
修,893,discipline,｜彡攴亻,,,
袖,894,sleeve,｜田衤,sleeve,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
終,895,end,夂糸,end,Time_(時),
羞,896,feel ashamed,丿彐玉羊丷,shame,Emotions_and_Senses_(感),Emotions_(情)
習,897,learn,冫白羽,,,
週,898,week,冂口土辶,week,Time_(時),Divisions_of_the_Year
就,899,concerning,丶亠口小尢尤,,,
衆,900,masses,皿血,,,
集,901,collect,木隹,,,
愁,902,distress,心火禾,melancholy,Emotions_and_Senses_(感),Emotions_(情)
酬,903,repay,｜丶巛酉,,,
醜,904,ugly,儿匕田酉鬼,,,
蹴,905,kick,丶丿乙亠口小尢足尤,,,
襲,906,attack,月立衣,raid,Human_activities,War_(戦)
十,907,ten,,10,Numbers_(数),
汁,908,soup,十氵,"juice, soup",Food_(食)_and_Drink_(飲),
充,909,allot,亠儿厶,,,
住,910,dwelling,丶玉亻,,,
柔,911,tender,木矛マ,,,
重,912,heavy,｜丿日里,heavy,Physical_Attributes_and_Properties,Miscellaneous_properties
従,913,obey,彳疋丷,,,
渋,914,astringent,冫止氵,,,
銃,915,gun,亠儿厶金,,,
獣,916,animal,口犬田尚,,,
縦,917,vertical,彳疋糸丷,,,
叔,918,uncle,卜又小,"aunt, uncle",People_(人),Family_(家_/_族)
祝,919,celebrate,儿口礻,,,
宿,920,inn,宀白亻,,,
淑,921,graceful,卜又小氵,,,
粛,922,solemn,｜丿彐水米隶,,,
縮,923,shrink,宀白糸亻,"to reduce, shrink",Numbers_(数),Calculations_(算)
塾,924,cram school,丶亠口土子九,private school,Human_activities,Culture
熟,925,ripen,丶亠口子九灬,,,
出,926,exit,｜山,out,Directions_(方)_and_Spatial_Relationships,
述,927,mention,丶十木辶,,,
術,928,art,丶十彳木行,,,
俊,929,genius,儿厶夂亻,,,
春,930,springtime,丿二日,Spring,Time_(時),Seasons_(季_/_候)
瞬,931,wink,冖夕爪牛目舛,,,
旬,932,10-day period (of the month),勹日,period of 10 days,Time_(時),Divisions_of_the_Year
巡,933,patrol,巛辶,,,
盾,934,shield,十厂斤目,,,
准,935,quasi-,冫隹,,,
殉,936,martyrdom,勹日歹,,,
純,937,genuine,糸屯,,,
循,938,sequential,十厂彳斤目,,,
順,939,obey,巛貝頁,sequence,Numbers_(数),Counting_(計)_&_Sequence_(序)
準,940,standard,十隹氵,,,
潤,941,wet,玉門氵,moist,Physical_Attributes_and_Properties,Miscellaneous_properties
遵,942,abide by,寸酉丷辶,,,
処,943,dispose,几夂攴,,,
初,944,first,刀衤,first,Numbers_(数),Counting_(計)_&_Sequence_(序)
所,945,place,戸斤,,,
書,946,write,日聿,write,Human_activities,Language_(語)_and_Communication
庶,947,commoner,广灬,,,
暑,948,hot,日老,hot,Physical_Attributes_and_Properties,Miscellaneous_properties
署,949,government office,日网老,,,
緒,950,thong,日糸老,,,
諸,951,various,日老言,,,
女,952,woman,,woman,People_(人),General
如,953,likeness,口女,,,
助,954,help,力目,,,
序,955,preface,亅子广,,,
叙,956,confer,又禾个,,,
徐,957,gradually,彳禾个,,,
除,958,exclude,禾个阝.,to divide,Numbers_(数),Calculations_(算)
小,959,small,,small,Physical_Attributes_and_Properties,Form_and_Shape_(形)
升,960,measuring box,丿十廾,(around 1.8 l),Numbers_(数),Units_of_Measurement_(測)
少,961,few,丿小,few,Numbers_(数),Counting_(計)_&_Sequence_(序)
召,962,summon,刀口,,,
匠,963,artisan,匚斤,,,
床,964,bed,广木,bed,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
抄,965,extract,丿小扌,,,
肖,966,resemblance,月尚,,,
尚,967,esteem,冂口,,,
招,968,beckon,刀口扌,,,
承,969,acquiesce,丿亅二手マ,,,
昇,970,rise up,丿十廾日,,,
松,971,pine,八厶木,pine,Nature,Plants_(植)_and_Trees_(樹)
沼,972,marsh,刀口氵,marsh,Nature,Land_(陸)_and_Topography
昭,973,shining,刀口日,,,
宵,974,wee hours,宀月尚,early evening,Time_(時),Divisions_of_the_Day
将,975,leader,寸爪爿,,,
消,976,extinguish,月尚氵,,,
症,977,symptoms,止疒,disease,Body_(身),Health_(体)
祥,978,auspicious,玉羊丷礻,,,
称,979,appellation,丿小禾,,,
笑,980,laugh,大禾竹,laughter,Emotions_and_Senses_(感),Emotions_(情)
唱,981,chant,口日,,,
商,982,sell,亠儿冂口立丷,trade,Human_activities,Money_(銭)_and_Commerce_(商)
渉,983,ford,丿小止氵,,,
章,984,chapter,十日立音,,,
紹,985,introduce,刀口糸,,,
訟,986,sue,八厶言,,,
勝,987,win,二人力大月丷,,,
掌,988,manipulate,冖口手尚,palm,Body_(身),Limbs_(肢)
晶,989,sparkle,日,crystal,Nature,Natural_Substances
焼,990,bake,儿十火,to bake,Food_(食)_and_Drink_(飲),Cooking_(炊)
焦,991,char,隹灬,,,
硝,992,nitrate,口月石尚,,,
粧,993,cosmetics,土广米,,,
詔,994,imperial edict,刀口言,,,
証,995,evidence,止言,,,
象,996,elephant,勹口豕,elephant,Nature,Animals_(獣)
傷,997,wound,丿日亻勿,wound,Body_(身),Health_(体)
奨,998,exhort,大寸爪爿,,,
照,999,illuminate,刀口日灬,,,
詳,1000,detailed,玉羊言丷,,,
彰,1001,patent,十彡日立音,,,
障,1002,hurt,十日立音阝.,,,
憧,1003,desire,立里忄,"longing, yearning",Emotions_and_Senses_(感),Emotions_(情)
衝,1004,collide,｜彳日行里,,,
賞,1005,prize,冖口貝尚,,,
償,1006,reparation,冖口貝亻尚,recompense,Human_activities,Money_(銭)_and_Commerce_(商)
礁,1007,reef,口石隹灬,reef,Nature,Land_(陸)_and_Topography
鐘,1008,bell,立里金,bell,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
上,1009,up,卜,up,Directions_(方)_and_Spatial_Relationships,
丈,1010,length,丶丿,,,
冗,1011,superfluous,冖几,,,
条,1012,clause,夂攴木,,,
状,1013,form,爿犬,,,
乗,1014,ride,｜丿八禾,to ride,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
城,1015,castle,丿土戈,,,
浄,1016,clean,亅勹彐氵,clean,Physical_Attributes_and_Properties,Miscellaneous_properties
剰,1017,surplus,｜丿刂,,,
常,1018,normal,冖口巾尚,,,
情,1019,feelings,二亠土月青忄,,,
場,1020,place,土日勿,,,
畳,1021,tatami mat,冖田,tatami mat,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
蒸,1022,steam,丿亅マ艹灬,to steam,Food_(食)_and_Drink_(飲),Cooking_(炊)
縄,1023,straw rope,乙田糸龜,rope,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
壌,1024,lot,亠八土衣,fertile soil,Nature,Land_(陸)_and_Topography
嬢,1025,lass,亠八女衣,young lady,People_(人),General
錠,1026,lock,宀疋金,lock,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
譲,1027,defer,亠八衣言,,,
醸,1028,brew,亠八衣酉,to brew,Food_(食)_and_Drink_(飲),Cooking_(炊)
色,1029,color,勹巴,,,
拭,1030,wipe,工弋扌,,,
食,1031,"eat, meal",,eclipse,Nature,Sky
植,1032,plant,十木目,,,
殖,1033,augment,十歹目,to increase,Numbers_(数),Calculations_(算)
飾,1034,decorate,丿巾食,,,
触,1035,contact,虫角,,,
嘱,1036,entrust,口尸禸,,,
織,1037,weave,戈日立糸音,to weave,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
職,1038,employment,戈日立耳音,employment,Human_activities,Money_(銭)_and_Commerce_(商)
辱,1039,embarrass,厂寸衣辰,,,
尻,1040,buttocks,尸九,buttocks,Body_(身),Limbs_(肢)
心,1041,heart,,heart,Body_(身),Torso_and_organs
申,1042,say,｜日田,,,
伸,1043,lengthen,｜日田亻,,,
臣,1044,retainer,匚,,,
芯,1045,core,心艹,,,
身,1046,body,,,,
辛,1047,spicy,十立,pungent,Emotions_and_Senses_(感),Senses
侵,1048,encroach,冖又彐亻,,,
信,1049,trust,言亻,message,Human_activities,Language_(語)_and_Communication
津,1050,haven,聿氵,,,
神,1051,god,｜日田礻,god or [kami],Human_activities,Religion_(宗)_and_the_Supernatural_World
唇,1052,lips,厂口衣辰,lips,Body_(身),Head_(頭)_and_Neck_(首)
娠,1053,with child,厂女衣辰,pregnant,Body_(身),Bodily_Functions
振,1054,shake,厂衣辰扌,,,
浸,1055,immersed,冖又彐氵,,,
真,1056,true,八十目,,,
針,1057,needle,十金,needle,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
深,1058,deep,儿冖木氵,deep,Physical_Attributes_and_Properties,Miscellaneous_properties
紳,1059,sire,｜日田糸,gentleman,People_(人),Roles_and_status
進,1060,advance,隹辶,,,
森,1061,forest,木,forest,Nature,Plants_(植)_and_Trees_(樹)
診,1062,checkup,彡言个,,,
寝,1063,lie down,冖又宀彐爿,sleep,Body_(身),Bodily_Functions
慎,1064,humility,八十目忄,,,
新,1065,new,亠十斤木立辛丷,new,Time_(時),
審,1066,examine,宀田米釆,,,
震,1067,quake,厂衣辰雨,earthquake,Nature,Weather
薪,1068,fuel,亠十斤木立辛丷艹,,,
親,1069,parent,亠十木立見辛丷,parent,People_(人),Family_(家_/_族)
人,1070,person,,counter for people,Numbers_(数),Counters_(個)
刃,1071,blade,丶刀,,,
仁,1072,humanity,二亻,,,
尽,1073,exhaust,丶尸,,,
迅,1074,swift,十辶,,,
甚,1075,tremendously,儿甘,,,
陣,1076,camp,車阝.,"battle formation, camp",Human_activities,War_(戦)
尋,1077,inquire,口寸工彐,,,
腎,1078,kidney,又月臣,kidney,Body_(身),Torso_and_organs
須,1079,by all means,彡貝頁,,,
図,1080,diagram,囗斗,"map, diagram",Human_activities,Language_(語)_and_Communication
水,1081,water,,water,Nature,Natural_Substances
吹,1082,blow,口欠,,,
垂,1083,droop,｜丿,,,
炊,1084,cook,欠火,,,
帥,1085,commander,｜口巾,,,
粋,1086,chic,十米九,,,
衰,1087,decline,亠衣,,,
推,1088,infer,隹扌,,,
酔,1089,drunk,十酉九,,,
遂,1090,consummate,豕丷辶,,,
睡,1091,drowsy,｜丿目,sleep,Body_(身),Bodily_Functions
穂,1092,ear,十心田禾,ear of grain,Food_(食)_and_Drink_(飲),
随,1093,follow,丿月辶阝.,,,
髄,1094,marrow,丿冖月骨辶,marrow,Body_(身),General_2
枢,1095,hinge,匚木,hinge or pivot,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
崇,1096,adore,宀山示,adoration or reverence,Emotions_and_Senses_(感),Emotions_(情)
数,1097,number,夂女攴米,,,
据,1098,set,十口尸扌,,,
杉,1099,cedar,彡木,cedar,Nature,Plants_(植)_and_Trees_(樹)
裾,1100,cuff,十口尸衤,cuff or hem,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
寸,1101,measurement,,1/10 Japanese foot (around 3 cm),Numbers_(数),Units_of_Measurement_(測)
瀬,1102,rapids,｜貝頁氵,rapids or shallows,Nature,Land_(陸)_and_Topography
是,1103,just so,日疋,,,
井,1104,well,｜丿二,,,
世,1105,world,｜,,,
正,1106,correct,止,correct,Emotions_and_Senses_(感),Judgment_(評)
生,1107,life,,student,Human_activities,Culture
成,1108,become,丿戈,,,
西,1109,west,,West,Directions_(方)_and_Spatial_Relationships,
声,1110,voice,士尸,voice,Human_activities,Language_(語)_and_Communication
制,1111,control,丿二巾牛刂,,,
姓,1112,surname,女生,,,
征,1113,subjugate,彳止,conquer,Human_activities,War_(戦)
性,1114,gender,生忄,,,
青,1115,blue,二亠土月,blue,Physical_Attributes_and_Properties,Colours_(色)
斉,1116,adjusted,｜丿廾文,,,
政,1117,politics,攴止,,,
星,1118,star,日生,star,Nature,Sky
牲,1119,animal sacrifice,牛生,,,
省,1120,government ministry,丿小目,,,
凄,1121,uncanny,冫十女彐,,,
逝,1122,departed,斤扌辶,,,
清,1123,pure,二亠土月青氵,,,
盛,1124,prosper,丿戈皿,,,
婿,1125,bridegroom,女月疋,"son-in-law, bridegroom",People_(人),Family_(家_/_族)
晴,1126,clear up,二亠土日月青,clear or fine weather,Nature,Weather
勢,1127,power,丶儿力土九,,,
聖,1128,holy,口玉耳,sacred,Human_activities,Religion_(宗)_and_the_Supernatural_World
誠,1129,sincerity,丿戈言,,,
精,1130,refined,二亠土月米青,sperm,Body_(身),Bodily_Functions
製,1131,manufacture,巾牛衣刂,,,
誓,1132,vow,斤言扌,,,
静,1133,quiet,亅亠勹土彐月青,quiet,Emotions_and_Senses_(感),Senses
請,1134,solicit,二亠土月言青,,,
整,1135,put in order,｜口攴木止,,,
醒,1136,be disillusioned,日生酉,,,
税,1137,tax,儿口禾丷,tax,Human_activities,Money_(銭)_and_Commerce_(商)
夕,1138,evening,,evening,Time_(時),Divisions_of_the_Day
斥,1139,reject,丶斤,,,
石,1140,stone,口,stone,Nature,Natural_Substances
赤,1141,red,土,red,Physical_Attributes_and_Properties,Colours_(色)
昔,1142,long ago,｜二日,antiquity,Time_(時),
析,1143,chop,斤木,,,
席,1144,seat,巾广,,,
脊,1145,stature,二月癶个,backbone,Body_(身),Torso_and_organs
隻,1146,vessels,又隹,counter for ships,Numbers_(数),Counters_(個)
惜,1147,pity,｜二日忄,regret,Emotions_and_Senses_(感),Emotions_(情)
戚,1148,grieve,丿卜小戈,grief,Emotions_and_Senses_(感),Emotions_(情)
責,1149,blame,亠土貝,,,
跡,1150,tracks,亠口止赤足,,,
積,1151,accumulate,亠土禾貝,,,
績,1152,exploits,亠土糸貝,,,
籍,1153,enroll,｜亠八土日木竹耒,,,
切,1154,cut,刀匕,,,
折,1155,fold,斤扌,,,
拙,1156,bungling,｜山扌,,,
窃,1157,stealth,儿刀匕宀穴,,,
接,1158,contact,女立扌,,,
設,1159,establish,殳言,,,
雪,1160,snow,彐雨,snow,Nature,Weather
摂,1161,vicarious,冫耳扌,,,
節,1162,node,卩竹艮,"tune, melody",Human_activities,Culture
説,1163,theory,儿口言丷,explain,Human_activities,Language_(語)_and_Communication
舌,1164,tongue,口,tongue,Body_(身),Head_(頭)_and_Neck_(首)
絶,1165,discontinue,糸色,,,
千,1166,thousand,丿十,"1,000",Numbers_(数),
川,1167,river,,river,Nature,Land_(陸)_and_Topography
仙,1168,hermit,山亻,immortal or sage,Human_activities,Religion_(宗)_and_the_Supernatural_World
占,1169,fortune telling,卜口,,,
先,1170,previous,丿儿土,"ahead, previous",Time_(時),
宣,1171,proclaim,宀日,proclaim,Human_activities,Language_(語)_and_Communication
専,1172,specialty,十寸田,,,
泉,1173,spring,水白,water spring,Nature,Land_(陸)_and_Topography
浅,1174,shallow,丶丿毛氵,shallow,Physical_Attributes_and_Properties,Miscellaneous_properties
洗,1175,wash,丿儿土氵,,,
染,1176,dye,木九氵,,,
扇,1177,fan,冫戸羽,fan,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
栓,1178,plug,木玉个,plug or stopper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
旋,1179,rotation,方疋,,,
船,1180,boat,八口舟,ship,Artificial_Structures_and_Products,Vehicles_(車)_and_Machines_(機)
戦,1181,war,十戈田尚,battle,Human_activities,War_(戦)
煎,1182,broil,月丷刂灬,"to boil, roast",Food_(食)_and_Drink_(飲),Cooking_(炊)
羨,1183,envy,欠玉羊丷氵,"envy, jealousy",Emotions_and_Senses_(感),Emotions_(情)
腺,1184,gland,月水白,gland,Body_(身),General_2
詮,1185,discussion,玉言个,,,
践,1186,tread,丶丿口毛足,,,
箋,1187,paper,戈竹,paper,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
銭,1188,coin,丶丿毛金,,,
潜,1189,submerge,人土日氵,,,
線,1190,line,水白糸,line,Physical_Attributes_and_Properties,Form_and_Shape_(形)
遷,1191,transition,大己襾辶,,,
選,1192,choose,｜二八己辶,,,
薦,1193,recommend,广艹灬,,,
繊,1194,slender,土戈糸赤,,,
鮮,1195,fresh,玉田羊魚丷灬,,,
全,1196,whole,八玉,,,
前,1197,in front,月丷刂,before,Time_(時),
善,1198,good,口玉羊丷,good,Emotions_and_Senses_(感),Judgment_(評)
然,1199,so,夕犬灬,,,
禅,1200,Zen,十田尚礻,Zen,Human_activities,Religion_(宗)_and_the_Supernatural_World
漸,1201,steadily,斤車氵,,,
膳,1202,tray,口月玉羊丷,tray or small table,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
繕,1203,darning,口玉糸羊丷,,,
狙,1204,aim at,｜目犭,,,
阻,1205,thwart,｜目阝.,,,
祖,1206,ancestor,｜目礻,ancestor,People_(人),Family_(家_/_族)
租,1207,tariff,｜目禾,tax,Human_activities,Money_(銭)_and_Commerce_(商)
素,1208,elementary,亠土糸,,,
措,1209,set aside,｜二日扌,,,
粗,1210,coarse,｜目米,,,
組,1211,association,｜目糸,"association, assemble",People_(人),Groups_(団)
疎,1212,alienate,｜口木止疋,,,
訴,1213,sue,丶斤言,,,
塑,1214,model,土屮月丷,,,
遡,1215,go upstream,屮月丷辶,,,
礎,1216,cornerstone,口木疋石,,,
双,1217,pair,丶又,pair,Numbers_(数),Counting_(計)_&_Sequence_(序)
壮,1218,robust,士爿,,,
早,1219,early,十日,early,Time_(時),
争,1220,conflict,亅勹彐,,,
走,1221,run,土,run,Body_(身),Actions
奏,1222,play music,｜丿二大禾,,,
相,1223,mutual,木目,,,
荘,1224,villa,士爿艹,villa,Artificial_Structures_and_Products,Cities_(市)
草,1225,grass,十日艹,grass,Nature,Plants_(植)_and_Trees_(樹)
送,1226,send,大丷辶,,,
倉,1227,warehouse,丿口个,,,
捜,1228,search,｜又日田扌,,,
挿,1229,insert,｜丿十日田扌,,,
桑,1230,mulberry,又木,mulberry,Nature,Plants_(植)_and_Trees_(樹)
巣,1231,nest,木田尚,,,
掃,1232,sweep,冖巾彐扌,,,
曹,1233,cadet,｜日,,,
曽,1234,formerly,日田丷,formerly,Time_(時),
爽,1235,refreshing,亠人,,,
窓,1236,window,儿厶宀心穴,,,
創,1237,create,口个刂,,,
喪,1238,miss,｜口衣,,,
痩,1239,get thin,又疒,weight loss,Body_(身),Health_(体)
葬,1240,interment,匕夕廾艹,,,
装,1241,attire,士爿衣,attire,Artificial_Structures_and_Products,Clothing_(服)_and_Textiles_(布)
僧,1242,Buddhist priest,日田亻丷,Buddhist monk or priest,Human_activities,Religion_(宗)_and_the_Supernatural_World
想,1243,concept,心木目,,,
層,1244,stratum,尸日田丷,,,
総,1245,whole,八厶心糸,,,
遭,1246,encounter,｜日辶,,,
槽,1247,vat,｜日木,tank,Artificial_Structures_and_Products,Miscellaneous_Manufactured_Items
踪,1248,remains,口宀示足,,,
操,1249,maneuver,口木扌品,,,
燥,1250,parch,口木火品,,,
霜,1251,frost,木目雨,frost,Nature,Weather
騒,1252,boisterous,又虫馬,,,
藻,1253,seaweed,口木氵艹品,algae or seaweed,Nature,Plants_(植)_and_Trees_(樹)
造,1254,create,丿口土辶,,,
像,1255,statue,勹口豕亻,,,
増,1256,increase,土日田丷,to increase,Numbers_(数),Calculations_(算)
憎,1257,hate,日田丷忄,hate,Emotions_and_Senses_(感),Emotions_(情)
蔵,1258,warehouse,丿戈臣艹,,,
贈,1259,presents,日田貝丷,,,
臓,1260,entrails,丿戈月臣艹,entrails,Body_(身),Torso_and_organs
即,1261,instant,卩艮,,,
束,1262,bundle,｜八口木,,,
足,1263,foot,口,"leg, foot",Body_(身),Limbs_(肢)
促,1264,stimulate,口足亻,,,
則,1265,rule,貝刂,,,
息,1266,breath,心自,breath,Body_(身),Bodily_Functions
捉,1267,capture,口足扌,,,
速,1268,fast,｜八口木辶,,,
側,1269,side,貝亻刂,side,Physical_Attributes_and_Properties,Form_and_Shape_(形)
測,1270,fathom,貝刂氵,,,
俗,1271,vulgar,八口谷个亻,,,
族,1272,tribe,方矢,,,
属,1273,belong,丿尸禸,,,
賊,1274,burglar,十戈貝,,,
続,1275,continue,儿冖士糸,,,
卒,1276,graduate,亠人十,graduate,Human_activities,Culture
率,1277,rate,亠冫十幺玄,,,
存,1278,suppose,｜丿子,,,
村,1279,village,寸木,village,Artificial_Structures_and_Products,Cities_(市)
孫,1280,grandchild,丿子糸,grandchild,People_(人),Family_(家_/_族)
尊,1281,revered,寸酉丷,,,
損,1282,loss,口貝扌,,,
遜,1283,humble,丿子糸辶,,,
他,1284,other,亻也,,,
